id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8607,0,〇,小淵 雅,PG/SG,09:17,0,0,3,0.0%,0,0,-,0,0,-,0,1,1,1,2,1,0,0,2,2,0,-2
8608,1,〇,トーマス・ケネディ,SF/PF,30:48,26,10,21,47.6%,2,6,33.3%,4,4,100.0%,1,10,11,5,2,0,1,0,3,3,0,30
15856,4,〇,佐竹 宥哉,SF,05:55,2,1,1,100.0%,0,0,-,0,0,-,0,1,1,1,0,0,0,0,0,1,0,4
12500,7,〇,古牧 昌也,SG,24:12,11,4,7,57.1%,3,3,100.0%,0,0,-,0,0,0,3,0,0,0,0,3,0,0,11
15824,8,-,新川 敬大,SG/SF,08:54,4,2,2,100.0%,0,0,-,0,0,-,2,0,2,2,0,0,0,0,2,0,0,8
8609,11,-,藤原 隆充,PG/SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8480,14,-,佐藤 文哉,PG/SG,18:27,17,5,9,55.6%,5,9,55.6%,2,3,66.7%,0,0,0,1,0,0,0,1,0,0,0,13
9054,15,-,嶋田 基志,C,20:38,1,0,3,0.0%,0,0,-,1,2,50.0%,0,3,3,1,0,1,0,0,5,2,0,2
10892,26,-,中野 広大,SG,14:43,3,1,4,25.0%,1,3,33.3%,0,0,-,1,1,2,4,0,0,0,0,0,2,0,6
9411,31,〇,アブドゥーラ・クウソー,C,30:02,17,7,11,63.6%,0,0,-,3,5,60.0%,3,8,11,4,1,1,1,0,3,4,1,27
8711,33,-,喜久山 貴一,PG,23:58,4,2,7,28.6%,0,1,0.0%,0,0,-,0,2,2,5,0,1,0,0,4,1,0,7
8613,51,-,根東 裕隆,PG/SG,13:06,5,2,2,100.0%,0,0,-,1,1,100.0%,0,0,0,2,1,1,0,0,0,1,0,7
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,2,5,0,0,0,0,0,0,0,0,5
,,,合計,,200:00,90,34,70,48.6%,11,22,50.0%,11,15,73.3%,10,28,38,29,6,5,2,1,22,16,1,118
