id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8662,0,-,満原 優樹,PF/C,25:48,2,0,4,0.0%,0,0,-,2,2,100.0%,3,1,4,3,0,0,0,3,0,1,0,5
8730,1,-,清水 太志郎,PG/SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
10819,6,〇,ロバート・サクレ,C,27:39,15,6,14,42.9%,0,2,0.0%,3,3,100.0%,1,5,6,2,1,0,2,0,3,2,1,16
8446,7,-,伊藤 駿,PG,24:29,3,1,3,33.3%,1,2,50.0%,0,0,-,0,2,2,3,0,1,0,0,1,1,0,7
9372,10,〇,マーカリ・サンダース・フリソン,C,26:33,2,1,4,25.0%,0,0,-,0,0,-,2,11,13,2,1,1,0,0,4,1,0,14
10820,14,〇,杉浦 佑成,SF,32:26,12,4,17,23.5%,0,5,0.0%,4,4,100.0%,1,2,3,1,3,0,0,1,4,3,0,0
8594,22,-,長谷川 智也,SG,19:41,16,6,11,54.5%,4,6,66.7%,0,0,-,1,1,2,0,5,1,0,0,4,3,0,9
8450,24,〇,広瀬 健太,SF,18:03,6,2,6,33.3%,2,4,50.0%,0,0,-,2,2,4,1,2,0,0,0,0,0,0,5
8658,32,〇,山内 盛久,PG/SG,25:21,8,3,9,33.3%,1,3,33.3%,1,2,50.0%,1,7,8,4,0,1,0,0,3,3,0,14
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,0,1,0,2,0,0,0,0,0,0,-1
,,,合計,,200:00,64,23,68,33.8%,8,22,36.4%,10,11,90.9%,12,31,43,16,14,4,2,4,19,14,1,69
