id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8650,0,-,田臥 勇太,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,
8835,4,〇,ジェフ・ギブス,27:29,22,7,13,53.8%,4,5,80.0%,4,4,100.0%,1,4,5,4,1,2,0,1,2,4,0,26,
8589,6,〇,比江島 慎,20:20,9,4,6,66.7%,1,1,100.0%,0,0,-,0,1,1,2,1,2,0,0,1,0,0,11,
8497,9,〇,遠藤 祐亮,24:02,6,2,9,22.2%,1,5,20.0%,1,1,100.0%,1,1,2,3,0,1,0,0,4,2,0,5,
8726,10,-,竹内 公輔,21:36,6,2,5,40.0%,0,0,-,2,4,50.0%,2,4,6,2,1,0,0,1,1,3,0,8,
10297,11,-,田原 隆徳,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,
8499,13,〇,渡邉 裕規,25:44,4,2,6,33.3%,0,4,0.0%,0,0,-,0,1,1,3,0,0,0,0,1,0,0,4,
8529,18,-,鵤 誠司,19:30,5,2,5,40.0%,1,3,33.3%,0,0,-,0,2,2,4,6,4,0,0,4,0,0,6,
8496,21,-,橋本 晃佑,12:06,3,1,2,50.0%,1,1,100.0%,0,0,-,0,1,1,0,0,0,0,0,1,0,0,3,
8649,22,〇,ライアン・ロシター,28:32,23,9,14,64.3%,3,4,75.0%,2,3,66.7%,4,6,10,1,4,0,2,0,1,4,0,26,
8504,30,-,山崎 稜,08:25,2,1,1,100.0%,0,0,-,0,0,-,0,1,1,0,0,0,0,0,1,0,0,3,
8657,31,-,喜多川 修平,12:16,2,1,2,50.0%,0,1,0.0%,0,0,-,0,0,0,2,0,1,0,0,1,1,0,4,
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,3,5,0,2,0,0,0,0,0,0,3
,,,合計,,200:00,82,31,63,49.2%,11,24,45.8%,9,12,75.0%,10,24,34,21,15,10,2,2,17,14,0,99
