id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9060,0,〇,藤江 建典,SG,27:05,4,2,14,14.3%,0,1,0.0%,0,0,-,0,1,1,4,3,2,0,0,2,3,0,-4
18406,4,-,川島 浩平,PG,01:03,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0
8715,5,-,千葉 慎也,SF,17:05,8,3,4,75.0%,2,2,100.0%,0,0,-,1,2,3,0,0,0,0,0,2,0,0,10
9497,6,-,今井 宏樹,PG,07:40,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,0,0,2,0,0,1
8678,8,-,枡田 祐介,SG,07:47,2,1,4,25.0%,0,1,0.0%,0,0,-,0,2,2,0,0,0,0,0,3,0,0,1
8718,12,〇,鈴木 友貴,SG,28:33,5,2,7,28.6%,1,5,20.0%,0,0,-,1,0,1,2,1,1,0,0,3,0,0,3
9245,25,-,草野 佑太,PG,18:53,2,0,2,0.0%,0,0,-,2,2,100.0%,0,0,0,1,4,0,0,0,1,2,0,-3
18439,30,〇,ロビンソン・タイタス,PF,26:44,10,0,12,0.0%,0,4,0.0%,10,12,83.3%,2,12,14,2,3,3,2,1,4,8,0,14
12660,50,〇,ジージオ・ベイン,C,32:07,12,5,11,45.5%,0,0,-,2,2,100.0%,4,4,8,1,2,0,1,1,4,3,2,14
18407,63,-,久川 貴之,SG,01:12,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8755,68,-,永田 晃司,SG,04:04,3,1,2,50.0%,1,1,100.0%,0,0,-,0,1,1,0,1,0,0,1,0,0,0,2
8740,93,〇,伴 晃生,PG,27:47,6,3,9,33.3%,0,2,0.0%,0,0,-,1,1,2,3,2,3,0,0,3,0,0,6
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,3,5,0,0,0,0,0,0,0,0,5
,,,合計,,200:00,52,17,65,26.2%,4,16,25.0%,14,16,87.5%,11,26,37,14,16,9,3,3,25,16,2,49
