id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9044,2,〇,福澤 晃平,PG/SG,33:14,8,3,5,60.0%,2,3,66.7%,0,0,-,0,1,1,3,3,1,0,0,3,0,0,8
8673,5,-,友利 健哉,PG,09:11,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,2,0,0,0,3,0,0,-3
15843,11,-,須田 昂太郎,SG/SF,00:28,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
12635,12,-,ジャーラ 志多斗,C,12:41,2,1,1,100.0%,0,0,-,0,0,-,0,4,4,0,1,1,1,0,1,0,0,7
8621,14,-,髙橋 祐二,PG,11:35,5,2,4,50.0%,0,0,-,1,3,33.3%,0,0,0,0,1,1,0,1,0,2,0,1
8682,16,-,久保田 遼,PF,06:30,2,1,2,50.0%,0,0,-,0,0,-,1,0,1,1,0,0,0,1,0,0,0,3
9089,21,〇,コナー・ラマート,PF,33:26,21,8,12,66.7%,3,3,100.0%,2,5,40.0%,2,10,12,4,1,1,0,0,4,5,0,30
8561,25,〇,平尾 充庸,PG,28:14,5,1,2,50.0%,0,0,-,3,5,60.0%,0,3,3,6,1,1,0,0,4,5,0,11
8604,27,〇,眞庭 城聖,SF,27:38,23,9,20,45.0%,2,4,50.0%,3,3,100.0%,0,1,1,3,2,1,0,1,1,6,0,15
18378,33,〇,カール・バプティスト,PF,26:27,16,6,15,40.0%,4,5,80.0%,0,0,-,3,3,6,4,1,3,0,1,4,2,1,19
8837,55,-,横尾 逹泰,SG/SF,10:36,3,1,1,100.0%,1,1,100.0%,0,0,-,0,0,0,0,1,0,0,0,0,0,0,2
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,1,2,0,2,0,0,0,0,0,0,0
,,,合計,,200:00,85,32,63,50.8%,12,17,70.6%,9,16,56.3%,7,23,30,21,15,9,1,4,20,20,1,93
