id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8712,6,〇,細谷 将司,PG,28:44,13,5,11,45.5%,2,5,40.0%,1,1,100.0%,0,0,0,6,1,0,0,0,2,2,0,12
8486,7,〇,野本 建吾,SF/PF,16:32,2,1,3,33.3%,0,0,-,0,0,-,2,3,5,0,0,1,0,0,1,0,0,6
22496,11,-,今川 友哲,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8446,16,-,伊藤 駿,PG,20:24,2,1,2,50.0%,0,0,-,0,0,-,0,1,1,7,0,0,0,0,3,1,0,9
10848,17,-,中山 拓哉,PG/SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
15829,21,-,長谷川 暢,PG,04:34,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0
10878,24,-,保岡 龍斗,SG/SF,19:51,3,1,7,14.3%,1,7,14.3%,0,0,-,1,0,1,4,0,2,0,0,4,1,0,4
9345,28,-,ウィリアムス ニカ,C,18:53,10,5,8,62.5%,0,0,-,0,1,0.0%,1,1,2,0,2,1,1,0,3,1,1,8
18172,40,〇,ジャスティン・キーナン,PF/C,31:35,23,8,12,66.7%,3,4,75.0%,4,6,66.7%,2,2,4,1,3,2,0,1,4,7,0,21
12459,43,〇,カディーム・コールビー,PF/C,29:32,13,6,11,54.5%,0,0,-,1,2,50.0%,3,3,6,2,0,0,2,0,2,2,4,17
8500,51,〇,古川 孝敏,SG/SF,29:55,12,6,13,46.2%,0,2,0.0%,0,0,-,0,2,2,2,1,0,0,0,3,2,0,8
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,2,4,0,0,0,0,0,0,0,0,4
,,,合計,,200:00,78,33,67,49.3%,6,18,33.3%,6,10,60.0%,11,14,25,22,7,6,3,1,23,16,5,89
