id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
10897,0,〇,レオ・ライオンズ,PF,38:19,27,11,18,61.1%,1,3,33.3%,4,4,100.0%,5,7,12,6,2,3,0,0,2,6,0,39
8641,1,-,山口 祐希,PG,18:41,2,1,3,33.3%,0,1,0.0%,0,0,-,0,1,1,1,0,1,0,0,4,2,0,3
20023,3,-,松山 駿,PG,01:41,3,1,2,50.0%,0,0,-,1,1,100.0%,0,0,0,0,0,0,1,0,0,1,0,3
8737,6,-,船生 誠也,SF,11:16,0,0,1,0.0%,0,1,0.0%,0,0,-,2,1,3,1,0,0,0,0,0,1,0,3
8578,7,〇,阿部 友和,PG,21:19,4,1,2,50.0%,0,0,-,2,2,100.0%,0,3,3,2,1,2,0,0,2,2,0,9
8768,8,-,山田 大治,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8501,9,〇,水戸 健史,SG,22:43,11,4,5,80.0%,1,1,100.0%,2,2,100.0%,0,2,2,1,0,2,0,1,2,1,0,15
8469,10,-,菅澤 紀行,PF,04:04,0,0,2,0.0%,0,2,0.0%,0,0,-,0,2,2,0,0,0,0,0,0,0,0,0
20024,13,〇,前田 悟,SF,28:45,15,4,10,40.0%,4,7,57.1%,3,3,100.0%,0,4,4,0,2,0,0,1,2,3,0,11
9316,22,〇,ジョシュ・ペッパーズ,SF/PF,37:57,21,8,18,44.4%,1,2,50.0%,4,4,100.0%,0,4,4,7,1,4,0,0,2,4,0,25
15818,25,-,葛原 大智,SG,15:15,5,2,4,50.0%,1,2,50.0%,0,0,-,0,0,0,0,1,0,0,0,3,4,0,2
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,2,4,0,2,0,0,0,0,0,0,2
,,,合計,,200:00,88,32,65,49.2%,8,19,42.1%,16,16,100.0%,9,26,35,18,9,12,1,2,17,24,0,112
