id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8587,0,〇,橋本 竜馬,PG,14:54,3,1,2,50.0%,1,2,50.0%,0,0,-,0,0,0,1,0,2,0,0,2,1,0,5
18479,1,〇,ケネディ・ミークス,PF/C,31:32,14,4,13,30.8%,0,1,0.0%,6,8,75.0%,5,7,12,6,4,2,0,1,1,4,0,19
18166,2,〇,マーキース・カミングス,SF/PF,26:17,25,10,17,58.8%,2,6,33.3%,3,5,60.0%,0,1,1,2,3,0,0,0,1,5,1,16
9400,6,〇,ファイ パプ月瑠,PF/C,15:55,1,0,0,-,0,0,-,1,2,50.0%,0,2,2,1,1,0,0,0,5,1,0,2
20031,7,〇,中野 司,SG,25:31,11,4,6,66.7%,3,5,60.0%,0,0,-,1,0,1,0,0,1,0,1,2,0,0,11
8507,8,-,多嶋 朝飛,PG,15:44,0,0,2,0.0%,0,2,0.0%,0,0,-,0,0,0,1,1,0,0,0,3,0,0,-2
8508,9,-,折茂 武彦,SG,06:58,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,-1
8597,10,-,市岡 ショーン,PF,23:13,9,4,9,44.4%,0,0,-,1,2,50.0%,2,2,4,0,3,0,2,1,2,2,1,6
8509,11,-,桜井 良太,SF,07:44,2,1,2,50.0%,0,0,-,0,0,-,0,1,1,0,0,0,0,0,2,1,0,2
22394,16,-,内田 旦人,PG/SG,04:01,0,0,2,0.0%,0,1,0.0%,0,0,-,0,1,1,0,0,0,0,0,0,0,0,-1
10880,17,-,川邉 亮平,SF,15:19,5,2,5,40.0%,0,2,0.0%,1,2,50.0%,3,2,5,2,0,1,0,0,0,2,0,9
8513,32,-,松島 良豪,PG,12:52,0,0,0,-,0,0,-,0,0,-,0,1,1,3,2,0,0,0,0,0,0,2
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,0,2,0,2,0,0,0,0,0,0,0
,,,合計,,200:00,70,26,59,44.1%,6,19,31.6%,12,19,63.2%,13,17,30,16,16,6,2,3,19,16,2,68
