id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8650,0,〇,田臥 勇太,PG,09:54,2,1,2,50.0%,0,1,0.0%,0,0,-,1,0,1,1,1,1,0,0,1,0,0,3
8589,6,〇,比江島 慎,SG,28:06,14,4,8,50.0%,0,1,0.0%,6,6,100.0%,1,1,2,3,0,1,0,0,3,5,0,16
8497,9,〇,遠藤 祐亮,PG/SG,27:39,10,4,8,50.0%,0,1,0.0%,2,4,50.0%,0,1,1,5,0,0,0,0,3,2,0,10
10297,11,-,田原 隆徳,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,
8499,13,-,渡邉 裕規,PG,21:29,7,3,6,50.0%,1,2,50.0%,0,0,-,0,1,1,2,1,1,0,0,1,1,0,7
8529,18,-,鵤 誠司,PG,27:41,9,3,10,30.0%,1,5,20.0%,2,3,66.7%,0,1,1,2,0,4,1,1,0,3,0,9
8496,21,〇,橋本 晃佑,PF,34:46,15,6,10,60.0%,3,5,60.0%,0,0,-,3,5,8,4,0,0,0,0,1,0,0,23
8649,22,〇,ライアン・ロシター,PF/C,34:40,26,11,20,55.0%,3,6,50.0%,1,1,100.0%,4,6,10,4,1,1,3,2,3,6,1,34
8504,30,-,山崎 稜,SG,04:45,0,0,1,0.0%,0,1,0.0%,0,0,-,1,0,1,2,0,1,0,0,1,0,0,3
8657,31,-,喜多川 修平,SF,11:00,7,3,3,100.0%,1,1,100.0%,0,0,-,0,2,2,0,0,0,0,0,4,0,0,9
