id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9354,1,〇,ロバート・ドジャー,PF,32:20,22,9,18,50.0%,2,7,28.6%,2,3,66.7%,0,8,8,2,5,0,0,1,2,4,0,17
18148,4,〇,寺園 脩斗,PG,16:12,0,0,8,0.0%,0,3,0.0%,0,0,-,0,1,1,2,1,0,0,0,4,0,0,-6
25148,6,-,北原 秀明,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8565,8,-,太田 敦也,C,15:41,6,3,7,42.9%,0,0,-,0,0,-,0,4,4,0,1,0,0,0,1,0,0,5
8478,9,-,柳川 龍之介,SG,04:42,0,0,0,-,0,0,-,0,0,-,1,0,1,1,0,0,0,0,1,0,0,2
8567,11,〇,岡田 慎吾,SG,22:10,6,2,5,40.0%,0,0,-,2,2,100.0%,1,0,1,0,1,1,0,0,1,1,0,4
15849,12,-,ダシルバ ヒサシ,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8510,13,〇,西川 貴之,SF,29:35,12,4,12,33.3%,4,9,44.4%,0,0,-,0,1,1,0,1,1,0,0,2,2,0,5
8568,15,-,鈴木 達也,PG,23:48,2,1,7,14.3%,0,4,0.0%,0,0,-,0,2,2,7,1,0,0,1,2,2,0,4
8677,21,-,菅野 翔太,SF,23:33,3,1,3,33.3%,1,3,33.3%,0,0,-,1,2,3,0,0,1,0,0,2,0,0,5
26892,32,〇,ミッケル・グラッドネス,PF,31:59,10,3,8,37.5%,0,0,-,4,5,80.0%,7,11,18,0,1,0,2,1,1,4,0,23
