id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
14301,2,〇,齋藤 拓実,PG,31:50,14,4,7,57.1%,0,0,-,6,6,100.0%,1,1,2,10,2,1,0,0,2,4,0,22
8590,4,-,狩俣 昌也,PG,08:10,0,0,1,0.0%,0,1,0.0%,0,0,-,0,1,1,0,1,0,0,0,0,0,0,-1
19956,6,-,シェーファー アヴィ幸樹,PF/C,05:35,0,0,1,0.0%,0,0,-,0,0,-,2,1,3,0,1,0,0,0,4,0,0,1
15811,11,〇,佐藤 卓磨,SG/SF,30:13,15,5,8,62.5%,2,3,66.7%,3,3,100.0%,1,2,3,1,1,1,0,0,3,3,0,16
22400,12,〇,ヘンリー・ウォーカー,SF/PF,28:00,20,7,15,46.7%,1,2,50.0%,5,6,83.3%,4,2,6,3,2,0,0,1,5,8,0,18
18845,13,-,中村 功平,PG/SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8488,15,-,谷口 光貴,SG/SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
10886,19,〇,ジェフ・エアーズ,PF,38:51,27,7,13,53.8%,2,4,50.0%,11,12,91.7%,5,15,20,3,3,2,0,0,3,6,0,42
10818,24,-,高橋 耕陽,SG/SF,20:25,2,0,5,0.0%,0,3,0.0%,2,2,100.0%,0,0,0,0,0,0,1,0,2,2,0,-2
8582,25,-,荒尾 岳,PF,02:55,0,0,0,-,0,0,-,0,0,-,0,0,0,1,1,0,0,0,0,0,0,0
8463,32,〇,狩野 祐介,SG,33:42,14,4,6,66.7%,4,5,80.0%,2,2,100.0%,0,0,0,3,1,0,0,0,2,1,0,14
9039,35,-,伊藤 大司,PG,00:19,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
