id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
18436,00,〇,ジェームズ・サザランド,SF,43:50,33,14,21,66.7%,5,11,45.5%,0,0,-,4,6,10,5,3,1,2,1,4,0,2,41
26915,7,〇,レジナルド・ベクトン,PF,27:16,15,6,9,66.7%,0,0,-,3,4,75.0%,4,4,8,3,2,3,0,0,5,5,1,23
26926,9,-,ホール 百音 アレックス,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8448,10,〇,アキ・チェンバース,SF,42:22,19,5,16,31.3%,2,7,28.6%,7,8,87.5%,1,4,5,1,1,3,0,0,1,5,0,15
12637,11,-,ハンター・コート,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8506,16,-,牧 全,SG,03:42,0,0,1,0.0%,0,1,0.0%,0,0,-,1,1,2,0,0,0,0,0,0,0,0,1
12454,21,〇,田渡 凌,PG,32:23,14,6,13,46.2%,2,3,66.7%,0,0,-,0,2,2,5,2,1,0,0,4,2,0,13
22402,22,-,秋山 皓太,SG/SF,13:54,4,1,3,33.3%,1,3,33.3%,1,2,50.0%,0,0,0,1,1,0,0,0,3,1,0,1
8720,25,〇,竹田 謙,SG,25:21,3,1,5,20.0%,1,1,100.0%,0,0,-,2,1,3,4,0,0,0,1,3,0,0,6
9259,32,-,エドワード・モリス,PF,18:40,4,2,5,40.0%,0,1,0.0%,0,0,-,1,2,3,1,1,0,0,0,3,3,0,4
10822,46,-,生原 秀将,PG,17:18,2,1,5,20.0%,0,0,-,0,0,-,2,1,3,2,0,0,0,1,3,0,0,3
10873,81,-,小原 翼,PF,00:14,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
