id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8486,7,〇,野本 建吾,SF/PF,22:50,4,2,4,50.0%,0,0,-,0,0,-,1,1,2,1,1,1,0,0,2,2,0,5
8734,9,-,白濱 僚祐,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
22496,11,-,今川 友哲,PF,02:43,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,0,0,0,1
8446,16,〇,伊藤 駿,PG,20:33,2,1,4,25.0%,0,0,-,0,0,-,1,2,3,2,2,1,0,0,3,2,0,3
10848,17,-,中山 拓哉,PG/SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
15829,21,-,長谷川 暢,PG,19:27,4,2,4,50.0%,0,1,0.0%,0,0,-,0,2,2,2,1,0,0,0,1,0,0,5
10878,24,-,保岡 龍斗,SG/SF,27:10,15,6,17,35.3%,3,12,25.0%,0,0,-,1,1,2,2,0,2,0,0,1,2,0,10
9345,28,-,ウィリアムス ニカ,C,18:55,6,3,9,33.3%,0,0,-,0,0,-,4,3,7,3,2,1,0,2,2,0,0,9
18172,40,〇,ジャスティン・キーナン,PF/C,32:51,29,10,16,62.5%,2,5,40.0%,7,7,100.0%,2,3,5,1,2,1,0,1,3,7,1,28
12459,43,〇,カディーム・コールビー,PF/C,24:43,4,2,4,50.0%,0,0,-,0,2,0.0%,2,4,6,3,1,0,3,0,4,2,1,11
8500,51,〇,古川 孝敏,SG/SF,30:48,7,2,7,28.6%,1,2,50.0%,2,2,100.0%,0,4,4,0,0,0,0,0,0,1,0,6
