id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
10824,0,-,會田 圭佑,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8721,1,〇,川村 卓也,PG/SG,35:39,12,4,9,44.4%,2,6,33.3%,2,2,100.0%,0,3,3,6,1,1,0,1,0,4,0,16
18475,2,-,岡田 侑大,PG/SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
18399,7,-,長野 誠史,PG,14:22,0,0,5,0.0%,0,2,0.0%,0,0,-,0,4,4,3,2,0,0,0,1,0,0,0
9405,9,-,森川 正明,SF,02:52,2,0,0,-,0,0,-,2,2,100.0%,0,0,0,0,1,0,0,0,0,1,0,1
19957,11,〇,熊谷 航,PG,29:31,3,1,7,14.3%,1,4,25.0%,0,0,-,1,2,3,12,1,2,0,1,2,2,0,13
8592,14,〇,金丸 晃輔,SG/SF,35:08,26,8,11,72.7%,2,2,100.0%,8,8,100.0%,0,3,3,2,1,1,0,1,1,5,0,28
8688,15,-,根來 新之助,SF/PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
20033,22,-,セドリック・シモンズ,C,26:46,7,3,3,100.0%,0,0,-,1,1,100.0%,2,5,7,1,0,1,0,0,4,1,0,16
8595,24,-,加藤 寿一,SG,02:28,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-1
8596,32,〇,桜木 ジェイアール,PF,18:01,11,4,6,66.7%,0,1,0.0%,3,4,75.0%,0,3,3,2,1,0,0,0,3,3,0,12
9040,54,〇,ダバンテ・ガードナー,PF,35:13,28,8,16,50.0%,1,2,50.0%,11,13,84.6%,1,10,11,2,0,0,0,1,3,8,0,31
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,0,2,0,1,0,0,0,0,0,0,1
,,,合計,,200:00,89,28,58,48.3%,6,17,35.3%,27,30,90.0%,6,30,36,28,8,5,0,4,14,24,0,117
