id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
18440,1,-,ジョシュ・ダンカン,PF,28:20,26,10,16,62.5%,2,3,66.7%,4,5,80.0%,5,5,10,1,0,0,0,1,2,3,0,30
9055,2,〇,富樫 勇樹,PG,25:32,11,4,11,36.4%,3,6,50.0%,0,0,-,0,2,2,9,3,0,0,0,1,2,0,12
8579,3,〇,マイケル・パーカー,PF,20:00,9,3,7,42.9%,1,1,100.0%,2,2,100.0%,0,7,7,3,1,2,1,1,1,2,0,17
22497,4,-,コー・フリッピン,PG/SG,21:52,13,5,7,71.4%,1,1,100.0%,2,2,100.0%,2,4,6,2,1,2,0,0,2,1,0,20
8468,5,〇,田口 成浩,SG,18:08,2,1,4,25.0%,0,3,0.0%,0,0,-,0,1,1,3,1,1,0,0,1,0,0,3
8483,7,-,晴山 ケビン,SF,12:51,0,0,3,0.0%,0,2,0.0%,0,0,-,2,0,2,0,0,0,0,0,0,1,0,-1
8580,11,-,西村 文男,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
30351,13,-,大倉 颯太,PG/SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8736,15,-,藤永 佳昭,PG,14:28,3,1,2,50.0%,1,2,50.0%,0,0,-,0,1,1,1,1,0,0,0,1,2,0,3
8593,21,〇,ギャビン・エドワーズ,PF,31:40,13,6,12,50.0%,0,2,0.0%,1,2,50.0%,1,3,4,2,0,1,0,2,3,2,0,13
8584,31,〇,原 修太,SG/SF,27:09,14,5,9,55.6%,3,6,50.0%,1,2,50.0%,0,1,1,3,0,0,1,0,3,2,0,14
8585,34,-,小野 龍猛,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
