id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8680,1,-,今野 翔太,SG/SF,05:49,5,2,4,50.0%,1,1,100.0%,0,0,-,0,0,0,1,0,1,0,0,1,0,0,5
8451,3,-,藤髙 宗一郎,SF,03:46,0,0,0,-,0,0,-,0,0,-,1,1,2,0,1,0,0,0,0,0,0,1
9379,5,〇,カイル・バローン,PF/C,30:53,12,4,12,33.3%,0,0,-,4,6,66.7%,6,6,12,1,1,0,1,1,3,6,1,15
8594,8,〇,長谷川 智也,SG,10:28,0,0,2,0.0%,0,2,0.0%,0,0,-,0,0,0,2,1,0,0,0,0,0,0,-1
30349,13,-,中村 浩陸,PG,19:56,4,2,5,40.0%,0,2,0.0%,0,0,-,0,1,1,3,3,1,0,0,3,1,0,3
8701,14,-,橋本 拓哉,SG,25:36,4,1,3,33.3%,1,2,50.0%,1,2,50.0%,0,3,3,2,3,0,1,0,3,2,0,4
8690,20,〇,合田 怜,SG,20:04,3,1,3,33.3%,0,2,0.0%,1,2,50.0%,1,2,3,2,6,0,0,0,2,3,0,-1
9283,22,-,小阪 彰久,PF,03:46,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,1,0,0,1
30394,24,-,今村 拓夢,SG/SF,10:11,5,2,4,50.0%,0,0,-,1,3,33.3%,0,2,2,0,0,2,1,0,2,2,0,6
8643,32,-,畠山 俊樹,PG/SG,16:06,6,1,3,33.3%,0,0,-,4,4,100.0%,0,1,1,2,2,0,0,0,1,2,0,5
8452,33,〇,アイラ・ブラウン,SF/PF,23:25,12,6,9,66.7%,0,2,0.0%,0,3,0.0%,1,1,2,0,2,1,3,0,2,4,0,10
9063,55,〇,ジョシュ・ハレルソン,PF/C,30:00,13,5,10,50.0%,2,4,50.0%,1,2,50.0%,2,9,11,3,4,1,1,0,2,1,0,19
