id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8684,2,〇,橋本 尚明,SG,27:35,6,2,5,40.0%,2,4,50.0%,0,0,-,1,2,3,1,1,2,0,0,2,0,0,8
26915,7,〇,レジナルド・ベクトン,PF,35:12,24,12,17,70.6%,0,0,-,0,2,0.0%,5,10,15,2,3,2,1,0,3,5,3,34
26926,9,-,ホール 百音 アレックス,SF,00:39,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0,0,1,0,0,-1
8448,10,〇,アキ・チェンバース,SF,32:34,12,5,9,55.6%,2,4,50.0%,0,0,-,0,1,1,6,2,2,0,0,2,0,0,15
12637,11,-,ハンター・コート,PG,02:28,0,0,0,-,0,0,-,0,0,-,0,0,0,0,1,1,0,0,1,0,0,0
26893,14,〇,ジョルジー・ゴロマン,C,36:26,9,4,12,33.3%,1,3,33.3%,0,2,0.0%,1,5,6,1,1,1,2,0,1,2,2,8
8506,16,-,牧 全,SG,01:55,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0
12454,21,〇,田渡 凌,PG,36:53,27,12,19,63.2%,0,2,0.0%,3,3,100.0%,0,2,2,8,4,0,0,1,1,2,0,26
22402,22,-,秋山 皓太,SG/SF,07:08,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,1,0,0,0,0,1,0,0,0
8720,25,-,竹田 謙,SG,02:34,0,0,0,-,0,0,-,0,0,-,0,1,1,0,1,1,0,0,0,1,0,1
9259,32,-,エドワード・モリス,PF,15:29,2,1,2,50.0%,0,0,-,0,0,-,2,0,2,0,0,2,0,0,1,0,0,5
10873,81,-,小原 翼,PF,01:07,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,3,4,0,3,0,0,0,0,0,0,1
,,,合計,,200:00,80,36,66,54.5%,5,14,35.7%,3,7,42.9%,10,24,34,19,16,11,3,1,14,10,5,97
