id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8462,0,-,小林 遥太,PG,17:57,2,1,3,33.3%,0,1,0.0%,0,0,-,0,0,0,1,2,2,0,0,1,1,0,1
10844,3,-,満田 丈太郎,SG/SF,08:59,2,1,4,25.0%,0,1,0.0%,0,0,-,1,0,1,0,0,0,0,0,2,0,0,0
25149,4,-,イシュマエル・レーン,PF/C,13:20,1,0,1,0.0%,0,1,0.0%,1,2,50.0%,1,2,3,1,1,0,2,0,0,2,0,4
8738,8,〇,張本 天傑,SF/PF,31:24,15,6,13,46.2%,2,5,40.0%,1,3,33.3%,0,2,2,4,1,2,0,0,4,2,0,13
10815,9,〇,安藤 周人,SG,27:52,12,4,14,28.6%,1,7,14.3%,3,4,75.0%,0,0,0,1,2,0,0,1,0,2,0,0
8516,12,〇,中東 泰斗,SG,25:53,11,5,11,45.5%,1,4,25.0%,0,0,-,2,5,7,2,1,0,0,2,1,0,1,13
18167,13,-,笠井 康平,PG,01:38,2,1,1,100.0%,0,0,-,0,0,-,0,0,0,1,0,0,0,0,0,0,0,3
8739,18,-,中務 敏宏,SG/SF,10:49,0,0,3,0.0%,0,2,0.0%,0,0,-,0,3,3,2,0,0,0,0,2,0,0,2
9056,20,〇,ヒルトン・アームストロング,PF/C,30:54,10,4,7,57.1%,0,0,-,2,4,50.0%,2,10,12,1,3,2,1,0,2,7,1,18
8517,21,〇,笹山 貴哉,PG,20:25,10,4,9,44.4%,2,5,40.0%,0,2,0.0%,0,3,3,2,0,2,0,0,1,2,0,10
20034,31,-,木下 誠,PG,10:49,2,1,6,16.7%,0,3,0.0%,0,0,-,0,2,2,2,1,1,1,0,0,0,0,2
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,7,0,7,0,0,0,0,0,0,0,0,7
,,,合計,,200:00,67,27,72,37.5%,6,29,20.7%,7,15,46.7%,13,27,40,17,11,9,4,3,13,16,2,73
