id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8588,3,〇,柏木 真介,PG,36:47,7,3,11,27.3%,1,8,12.5%,0,0,-,0,3,3,6,3,2,0,0,1,5,0,7
8645,7,〇,五十嵐 圭,PG,35:49,2,1,5,20.0%,0,4,0.0%,0,0,-,0,4,4,6,2,2,1,0,1,1,0,9
20022,10,-,髙橋 浩平,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8515,11,-,鵜澤 潤,PF,10:57,3,0,3,0.0%,0,2,0.0%,3,3,100.0%,0,1,1,0,0,0,0,2,1,1,0,1
15757,14,-,石井 峻平,SG,04:08,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0
10851,18,-,森井 健太,PG,14:11,2,1,4,25.0%,0,2,0.0%,0,0,-,1,3,4,2,1,1,0,0,2,0,0,5
8581,22,-,上江田 勇樹,SG/SF,08:18,2,0,0,-,0,0,-,2,2,100.0%,0,0,0,0,0,0,0,0,1,1,0,2
14302,30,〇,今村 佳太,SG/SF,43:35,26,10,19,52.6%,3,7,42.9%,3,4,75.0%,1,4,5,3,0,3,0,3,2,3,0,27
8476,32,-,池田 雄一,SF,07:12,3,1,1,100.0%,1,1,100.0%,0,0,-,0,0,0,0,0,0,0,0,0,0,0,3
26891,33,〇,ニック・パーキンズ,PF,47:07,24,9,17,52.9%,1,1,100.0%,5,6,83.3%,5,8,13,0,4,1,0,1,3,3,1,25
9384,34,〇,ラモント・ハミルトン,PF/C,41:56,16,6,12,50.0%,2,5,40.0%,2,5,40.0%,2,8,10,1,5,3,3,1,3,6,0,19
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,0,3,0,4,0,0,0,0,0,0,-1
,,,合計,,250:00,85,31,72,43.1%,8,30,26.7%,15,20,75.0%,12,31,43,18,19,12,4,7,15,20,1,97
