id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8725,0,〇,楯 昌宗,PG,11:20,5,2,6,33.3%,1,5,20.0%,0,0,-,0,0,0,0,1,0,0,0,2,0,0,0
22492,1,-,松井 陸,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
10855,10,-,プイ エリマン,PF/C,03:29,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0
9340,11,〇,チェハーレス・タプスコット,PF,38:17,27,12,19,63.2%,3,4,75.0%,0,1,0.0%,0,4,4,7,0,1,2,0,1,3,0,33
8599,13,-,俊野 佳彦,SG,17:53,3,1,2,50.0%,1,2,50.0%,0,0,-,0,1,1,2,1,0,0,0,1,0,0,4
8766,16,〇,笠原 太志,SF/PF,24:37,4,1,3,33.3%,0,1,0.0%,2,2,100.0%,0,3,3,1,1,0,0,0,1,2,0,5
18174,24,-,伊集 貴也,PG,12:24,6,2,6,33.3%,2,6,33.3%,0,0,-,0,1,1,0,0,0,0,0,2,1,0,3
18424,30,〇,ブライアン・ヴォールケル,PF,38:03,19,7,10,70.0%,3,5,60.0%,2,2,100.0%,5,5,10,7,1,4,0,0,3,3,0,36
8842,31,-,高畠 佳介,SG,21:50,8,3,7,42.9%,2,4,50.0%,0,0,-,0,0,0,0,1,2,0,0,1,0,0,5
8598,33,〇,俊野 達彦,PG/SG,32:07,17,7,13,53.8%,2,3,66.7%,1,2,50.0%,1,3,4,3,1,1,0,0,2,2,0,17
22493,45,-,速井 寛太,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,3,3,0,1,0,0,0,1,0,0,2
,,,合計,,200:00,89,35,66,53.0%,14,30,46.7%,5,7,71.4%,6,20,26,20,7,8,2,0,15,11,0,105
