id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
30397,2,-,栗原 翼,PG/SG,09:06,2,1,2,50.0%,0,0,-,0,0,-,1,1,2,1,0,0,0,0,1,0,0,4
10881,5,-,仁平 拓海,SF/PF,12:13,1,0,5,0.0%,0,5,0.0%,1,2,50.0%,1,3,4,0,0,1,0,0,3,1,0,0
18478,9,〇,久岡 幸太郎,PG,33:45,19,6,14,42.9%,3,9,33.3%,4,6,66.7%,1,2,3,7,1,1,0,1,2,3,0,19
18171,10,〇,紺野 ニズベット 翔,SG/SF,08:14,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,1,2,0,0,0,4,0,0,-2
8757,13,-,小原 良公,PG/SG,08:14,3,1,3,33.3%,1,2,50.0%,0,0,-,0,1,1,0,1,1,0,0,1,0,0,2
15823,17,-,木村 嗣人,PG,08:22,0,0,1,0.0%,0,1,0.0%,0,0,-,1,1,2,1,0,0,0,0,1,1,0,2
9064,21,-,増子 匠,PG/SG,27:50,20,8,15,53.3%,4,7,57.1%,0,0,-,0,2,2,3,4,2,0,1,3,3,0,16
26877,30,〇,カイル・ケイシー,SF/PF,34:53,26,10,16,62.5%,1,2,50.0%,5,6,83.3%,1,11,12,4,1,0,1,0,3,8,2,35
26878,32,〇,ナンナ・エグー,C,34:32,6,3,6,50.0%,0,2,0.0%,0,0,-,3,10,13,2,0,0,2,0,2,0,0,20
8556,35,〇,高山 師門,SG,13:20,5,2,5,40.0%,0,1,0.0%,1,3,33.3%,0,2,2,1,0,0,1,0,1,2,0,4
8557,92,-,村越 圭佑,SF/PF,09:31,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,-1
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,1,3,0,0,0,0,0,0,0,0,3
,,,合計,,200:00,82,31,69,44.9%,9,29,31.0%,11,17,64.7%,10,34,44,20,9,5,4,2,22,18,2,102
