id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8546,6,〇,長澤 健司,SG,26:38,0,0,1,0.0%,0,1,0.0%,0,0,-,0,3,3,2,1,0,0,0,2,0,0,3
8548,9,-,長谷川 凌,PF,03:04,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-1
9257,11,-,上松 大輝,SF,18:46,0,0,2,0.0%,0,2,0.0%,0,0,-,0,1,1,0,0,1,0,0,1,0,0,0
9420,13,〇,ライアン・ステファン,C,37:35,29,13,22,59.1%,2,8,25.0%,1,2,50.0%,5,8,13,3,3,0,3,1,3,2,2,35
8465,22,〇,樋口 大倫,PF,25:24,13,5,10,50.0%,1,1,100.0%,2,2,100.0%,1,2,3,0,3,0,0,0,3,2,0,8
8707,23,-,齋藤 豊,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9243,30,-,佐野 隆司,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8708,33,-,宮田 諭,PG,16:33,6,2,5,40.0%,0,0,-,2,2,100.0%,0,1,1,4,1,0,0,0,2,1,0,7
12648,40,〇,ジョーダン・フェイゾン,C,38:37,23,7,14,50.0%,0,1,0.0%,9,10,90.0%,6,7,13,10,5,0,5,1,1,7,1,38
10891,41,-,小倉 渓,PF,09:56,4,0,2,0.0%,0,2,0.0%,4,4,100.0%,0,4,4,0,0,0,0,0,0,3,0,6
12601,44,-,丹野 合気,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9365,51,〇,田口 暖,PG,23:27,2,1,3,33.3%,0,2,0.0%,0,0,-,0,3,3,4,0,0,0,0,2,0,0,7
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,0,0,0,1
,,,合計,,200:00,77,28,60,46.7%,3,17,17.6%,18,20,90.0%,12,30,42,23,13,1,8,2,14,15,3,104
