id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9413,1,-,矢代 雪次郎,PG/SG,16:36,0,0,3,0.0%,0,2,0.0%,0,0,-,0,2,2,3,3,1,0,1,2,3,0,0
8618,6,〇,藤岡 昂希,SF,22:54,6,2,4,50.0%,1,1,100.0%,1,1,100.0%,1,2,3,1,0,0,0,1,0,1,0,8
9221,7,〇,筑波 拓朗,SF,31:46,10,4,7,57.1%,2,4,50.0%,0,0,-,1,2,3,1,3,0,0,0,3,1,0,8
18848,8,-,大橋 聖也,PG,03:21,1,0,1,0.0%,0,0,-,1,2,50.0%,0,0,0,0,0,0,0,0,0,1,0,-1
12605,14,〇,高比良 寛治,SG/SF,29:12,9,3,10,30.0%,3,7,42.9%,0,0,-,0,3,3,3,2,0,1,1,2,1,0,7
9054,15,-,嶋田 基志,PF,21:28,6,2,8,25.0%,2,5,40.0%,0,0,-,0,1,1,2,3,0,0,0,1,0,0,0
9077,17,-,石川 智也,PG,02:50,0,0,1,0.0%,0,0,-,0,0,-,1,0,1,0,0,0,0,0,0,0,0,0
9218,34,〇,兒玉 貴通,PG,31:01,20,8,18,44.4%,4,8,50.0%,0,1,0.0%,1,2,3,3,5,0,0,1,3,2,0,10
8762,42,〇,ケビン・コッツァー,PF/C,34:46,15,6,12,50.0%,2,3,66.7%,1,1,100.0%,0,8,8,3,0,0,0,0,0,5,0,20
30444,93,-,上良 潤起,SG,06:06,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,0,1,0,1,0,0,0,0,-1
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,4,5,9,0,0,0,0,0,0,0,0,9
,,,合計,,200:00,67,25,65,38.5%,14,30,46.7%,3,5,60.0%,8,25,33,16,17,1,2,4,11,14,0,60
