id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9214,3,〇,横塚 蛍,PG/SG,12:11,4,2,4,50.0%,0,1,0.0%,0,0,-,1,2,3,0,0,0,0,0,2,1,0,5
26904,11,-,酒井 達也,PG,17:19,9,3,5,60.0%,1,1,100.0%,2,2,100.0%,4,2,6,6,1,0,0,1,4,3,0,18
9217,13,-,西片 翼,SF,02:23,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9219,16,〇,鮫島 宗一郎,SG/SF,20:12,10,4,9,44.4%,1,3,33.3%,1,1,100.0%,0,1,1,0,1,0,0,0,0,2,0,5
9258,22,〇,鳴海 亮,PG,30:51,11,4,11,36.4%,2,5,40.0%,1,2,50.0%,1,4,5,7,0,2,0,2,1,1,0,17
26905,24,〇,チャールズ・ヒンクル,SF/PF,32:43,23,8,15,53.3%,1,4,25.0%,6,8,75.0%,1,5,6,7,0,0,1,1,1,7,0,28
9222,30,-,村田 翔,SG/SF,01:44,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,-1
9223,32,-,長谷川 武,PF,12:31,4,2,4,50.0%,0,0,-,0,0,-,1,4,5,4,2,0,1,0,0,0,0,10
9261,33,〇,アレクサンダー・ジョーンズ,C,25:44,19,8,12,66.7%,0,0,-,3,4,75.0%,1,0,1,3,1,1,1,0,1,4,1,19
12658,49,-,飯田 鴻朗,PG,12:56,4,1,1,100.0%,0,0,-,2,2,100.0%,1,0,1,3,1,3,0,0,4,1,0,10
10259,55,-,小林 礼秧,SG/SF,09:26,0,0,4,0.0%,0,2,0.0%,0,0,-,1,1,2,0,1,0,0,0,1,0,0,-3
8648,91,-,落合 知也,SF/PF,22:00,14,4,6,66.7%,2,3,66.7%,4,8,50.0%,1,8,9,1,2,0,0,0,1,5,0,16
