id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
12642,0,〇,アンジェロ・チョル,PF,38:12,22,9,13,69.2%,0,0,-,4,5,80.0%,0,13,13,3,1,2,1,0,3,5,0,35
8518,1,-,大塚 勇人,PG,12:55,5,2,6,33.3%,0,1,0.0%,1,2,50.0%,0,0,0,3,1,0,0,0,0,2,0,2
20000,3,-,綱井 勇介,PG/SG,11:50,2,1,3,33.3%,0,0,-,0,0,-,1,2,3,2,1,0,0,0,1,1,0,4
9360,5,〇,マーカス・ダブ,PF,27:38,7,3,7,42.9%,0,0,-,1,2,50.0%,2,7,9,3,3,3,3,0,0,3,2,17
10874,7,-,佐野 太一,PG/SG,14:31,2,1,6,16.7%,0,3,0.0%,0,0,-,0,2,2,1,1,1,0,0,1,0,0,0
8542,8,〇,下山 大地,SG,25:42,21,7,13,53.8%,5,8,62.5%,2,3,66.7%,0,2,2,1,1,0,0,0,0,3,0,16
10299,9,-,野里 惇貴,SG,11:37,8,3,5,60.0%,2,3,66.7%,0,1,0.0%,0,0,0,0,0,0,0,0,1,3,0,5
8742,18,〇,菅 俊男,SG/SF,31:40,6,3,10,30.0%,0,1,0.0%,0,2,0.0%,3,4,7,5,4,2,2,3,3,2,0,9
10877,22,〇,門馬 圭二郎,SG/SF,13:33,2,0,1,0.0%,0,1,0.0%,2,2,100.0%,1,1,2,1,0,1,0,0,3,1,0,5
15833,28,-,宮本 滉希,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
20026,34,-,宮越 康槙,SG/SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
19999,80,-,ビリシベ 実会,SF,12:22,3,1,1,100.0%,1,1,100.0%,0,0,-,0,1,1,1,1,0,0,0,2,0,0,4
