id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8546,6,-,長澤 健司,SG,14:59,2,1,3,33.3%,0,1,0.0%,0,0,-,0,0,0,2,1,3,0,0,1,0,0,4
8548,9,-,長谷川 凌,PF,02:22,0,0,0,-,0,0,-,0,0,-,0,1,1,1,0,1,0,0,0,0,0,3
9257,11,〇,上松 大輝,SF,25:34,18,4,7,57.1%,3,4,75.0%,7,9,77.8%,0,2,2,6,3,0,0,0,3,6,0,18
9420,13,〇,ライアン・ステファン,C,23:18,13,6,9,66.7%,0,1,0.0%,1,1,100.0%,1,11,12,2,3,1,0,0,2,1,0,22
8465,22,-,樋口 大倫,PF,24:05,8,4,5,80.0%,0,0,-,0,0,-,3,4,7,3,3,2,2,0,3,3,0,18
8707,23,-,齋藤 豊,SF,13:37,8,3,5,60.0%,2,3,66.7%,0,0,-,0,3,3,0,0,1,0,0,1,0,0,10
9243,30,〇,佐野 隆司,SF,11:35,4,2,4,50.0%,0,1,0.0%,0,0,-,0,0,0,0,1,0,1,0,4,0,0,2
8708,33,-,宮田 諭,PG,20:28,14,4,6,66.7%,1,2,50.0%,5,6,83.3%,0,4,4,4,4,1,0,0,1,4,0,16
12648,40,〇,ジョーダン・フェイゾン,C,24:09,25,10,14,71.4%,1,3,33.3%,4,7,57.1%,1,7,8,4,1,3,0,0,1,6,1,32
10891,41,-,小倉 渓,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
12601,44,-,丹野 合気,PG,18:42,8,2,5,40.0%,1,2,50.0%,3,4,75.0%,0,1,1,2,5,0,0,1,1,4,0,2
9365,51,〇,田口 暖,PG,21:11,3,1,3,33.3%,0,1,0.0%,1,2,50.0%,1,1,2,6,2,2,0,0,5,1,0,8
