id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
26885,0,-,山本 郁也,PG,18:41,1,0,1,0.0%,0,0,-,1,2,50.0%,0,1,1,1,1,3,0,0,1,0,0,3
12452,1,-,小川 京介,PG,13:57,7,2,6,33.3%,1,5,20.0%,2,2,100.0%,0,0,0,0,0,0,0,0,1,0,0,3
9456,2,〇,ゲイリー・ハミルトン,C,20:16,7,3,6,50.0%,0,0,-,1,2,50.0%,2,5,7,0,1,0,0,0,2,0,0,9
26920,3,〇,トレイ・ギルダー,PF,35:39,26,7,19,36.8%,1,6,16.7%,11,11,100.0%,1,5,6,3,2,0,1,1,1,0,0,22
26887,11,-,栗原 信彦,SF,03:33,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-1
8562,13,〇,小松 秀平,SG,11:32,0,0,3,0.0%,0,1,0.0%,0,0,-,0,1,1,0,0,0,0,0,1,0,0,-2
9344,19,-,徳永 林太郎,PG,17:13,7,2,3,66.7%,1,2,50.0%,2,3,66.7%,1,0,1,1,0,1,0,0,1,0,0,8
9377,26,-,アラン・ウィギンス,PF,21:33,8,4,5,80.0%,0,0,-,0,2,0.0%,0,6,6,0,1,2,1,0,5,0,0,13
26888,34,〇,井上 諒汰,SF,30:21,2,1,6,16.7%,0,1,0.0%,0,0,-,1,0,1,0,0,1,0,0,2,0,0,-1
8570,47,〇,並里 祐,PG,21:19,5,1,8,12.5%,0,2,0.0%,3,3,100.0%,0,0,0,3,3,1,0,0,1,0,0,-1
22398,58,-,鈴木 龍雄,SG,01:35,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
26889,66,-,中西 佑介,PF,04:21,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-1
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,4,4,0,1,0,0,0,0,0,0,3
,,,合計,,200:00,63,20,59,33.9%,3,19,15.8%,20,25,80.0%,5,22,27,8,9,8,2,1,15,0,0,55
