id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9336,0,〇,大澤 歩,PG,32:00,9,2,8,25.0%,0,2,0.0%,5,6,83.3%,1,2,3,7,3,1,0,0,2,0,0,10
8563,1,〇,大石 慎之介,PG,23:18,6,2,4,50.0%,2,4,50.0%,0,1,0.0%,0,1,1,1,4,1,0,0,4,0,0,2
25141,4,-,菅川 浩樹,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9395,5,-,山下 颯,SG,11:01,0,0,4,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0,1,2,0,0,-4
15846,6,-,松尾 啓輔,SF,19:41,5,2,4,50.0%,0,1,0.0%,1,4,25.0%,0,1,1,0,0,0,1,0,1,0,0,2
25142,11,-,武田 遼馬,PG,05:07,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
25143,12,-,福田 陽平,PG,02:56,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-1
25144,13,-,東 祐太,PF,24:08,4,0,4,0.0%,0,0,-,4,4,100.0%,3,2,5,0,3,2,0,1,2,0,0,4
25145,20,-,伊藤 健太,SG,02:36,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0,0,1,0,0,-1
22397,22,〇,近藤 崚太,SG,17:07,9,3,9,33.3%,3,9,33.3%,0,0,-,0,1,1,0,0,1,1,0,5,0,0,6
26901,23,〇,ローション・プリンス,PF,28:05,25,8,14,57.1%,0,0,-,9,11,81.8%,1,6,7,0,3,0,0,1,3,0,0,21
18424,33,〇,ブライアン・ヴォールケル,PF,34:01,13,5,10,50.0%,1,3,33.3%,2,4,50.0%,4,8,12,2,1,2,0,1,3,0,0,21
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,3,6,0,1,0,0,0,1,0,0,5
,,,合計,,200:00,71,22,59,37.3%,6,22,27.3%,21,30,70.0%,12,24,36,10,15,7,2,4,24,0,0,65
