id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9060,0,-,藤江 建典,SG,20:19,8,3,7,42.9%,2,4,50.0%,0,0,-,0,3,3,0,0,1,0,0,0,0,0,8
9208,00,-,上田 雅也,SG,22:50,11,3,6,50.0%,1,1,100.0%,4,4,100.0%,0,4,4,2,2,0,0,1,2,0,0,12
15754,4,-,エルハジ・イブラヒマ・セック,19:17,7,3,7,42.9%,1,4,25.0%,0,0,-,1,2,3,1,2,1,0,0,5,0,0,6,
8715,5,-,千葉 慎也,SF,04:18,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9497,6,〇,今井 宏樹,PG,12:12,0,0,3,0.0%,0,1,0.0%,0,0,-,0,1,1,2,1,0,0,0,3,0,0,-1
25136,8,〇,エリック・ニッセン,PF,26:57,15,6,14,42.9%,2,2,100.0%,1,2,50.0%,4,10,14,2,1,0,2,1,2,0,0,23
10892,9,〇,中野 広大,SG,15:33,3,1,5,20.0%,1,4,25.0%,0,0,-,0,3,3,0,0,0,0,0,1,0,0,2
9234,16,〇,伊藤 良太,PG,19:08,8,2,3,66.7%,2,3,66.7%,2,2,100.0%,0,1,1,0,1,0,0,0,0,0,0,7
9246,30,-,髙橋 幸大,PG,20:52,7,2,3,66.7%,1,1,100.0%,2,2,100.0%,0,3,3,3,2,1,0,0,3,0,0,11
10843,35,〇,ジャスティン・ヘラルド,C,27:52,16,7,13,53.8%,0,2,0.0%,2,3,66.7%,3,5,8,0,2,1,2,0,1,0,0,18
8755,68,-,永田 晃司,SG,10:42,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,2,1,1,0,0,0,0,0,1
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,2,3,0,0,0,0,0,0,0,0,3
,,,合計,,200:00,75,27,62,43.5%,10,22,45.5%,11,13,84.6%,9,34,43,12,12,5,4,2,17,0,0,90
