id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9294,3,〇,藤田 兼士朗,SF,14:41,2,1,2,50.0%,0,0,-,0,0,-,2,1,3,1,0,1,0,0,1,0,0,6
9295,7,-,佐藤 大輔,SG,16:20,2,1,2,50.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2,0,0,1
9418,9,〇,ルーク・エヴァンス,PF,25:11,10,2,9,22.2%,0,1,0.0%,6,8,75.0%,5,6,11,4,1,0,1,1,3,0,0,16
9296,10,〇,柳内 龍馬,SG,21:27,2,1,4,25.0%,0,0,-,0,0,-,0,3,3,1,0,1,0,0,1,0,0,4
12625,12,-,パトリック・サイモン,PF,21:30,17,7,11,63.6%,2,4,50.0%,1,1,100.0%,1,4,5,2,0,0,0,0,2,0,0,20
9298,17,〇,隅廣 英二,PG,23:59,19,7,11,63.6%,2,2,100.0%,3,3,100.0%,0,4,4,5,2,0,0,0,2,0,0,22
25266,24,〇,ジェーディー・ウェザースプーン,PF,33:19,24,8,12,66.7%,2,4,50.0%,6,10,60.0%,0,7,7,1,3,2,0,0,2,0,0,23
9304,26,-,井林 宥輔,C,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
15827,33,-,竹村 蓮,PG,16:01,4,2,4,50.0%,0,0,-,0,1,0.0%,0,3,3,5,3,2,0,0,4,0,0,8
9306,35,-,宮澤 燿佑,C,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
10856,56,-,川田 稜介,SF,08:59,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
15841,71,-,東 宏輝,PG,18:33,11,4,8,50.0%,3,3,100.0%,0,0,-,0,4,4,0,1,0,0,0,1,0,0,10
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,0,1,0,0,0,0,0,0,0,0,1
,,,合計,,200:00,91,33,63,52.4%,9,14,64.3%,16,23,69.6%,9,32,41,19,10,6,1,1,18,0,0,111
