id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
26885,0,-,山本 郁也,PG,08:56,5,2,3,66.7%,1,2,50.0%,0,0,-,0,0,0,0,0,0,0,0,2,0,0,4
12452,1,-,小川 京介,PG,14:51,9,3,6,50.0%,3,5,60.0%,0,0,-,0,1,1,0,0,0,0,0,0,0,0,7
9456,2,〇,ゲイリー・ハミルトン,C,19:28,12,6,8,75.0%,0,0,-,0,0,-,5,9,14,5,3,1,0,1,3,0,0,27
26920,3,〇,トレイ・ギルダー,PF,27:44,29,10,17,58.8%,6,9,66.7%,3,3,100.0%,3,4,7,5,2,2,1,1,0,0,0,35
26887,11,〇,栗原 信彦,SF,12:14,2,1,4,25.0%,0,1,0.0%,0,0,-,1,0,1,0,0,0,0,0,2,0,0,0
8562,13,〇,小松 秀平,SG,25:23,3,1,10,10.0%,1,10,10.0%,0,0,-,0,7,7,0,0,1,0,0,1,0,0,2
27117,14,-,エバン・イエ－ツ,PF,25:56,18,8,12,66.7%,0,0,-,2,6,33.3%,3,7,10,5,4,3,4,3,1,0,0,28
9344,19,-,徳永 林太郎,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
10832,20,-,渋田 怜音,PG,21:42,7,3,7,42.9%,1,3,33.3%,0,2,0.0%,0,0,0,6,0,2,0,0,1,0,0,9
26888,34,-,井上 諒汰,SF,15:54,2,1,6,16.7%,0,3,0.0%,0,0,-,0,0,0,2,1,0,0,0,4,0,0,-2
8570,47,〇,並里 祐,PG,19:21,2,1,4,25.0%,0,1,0.0%,0,0,-,0,2,2,3,0,1,0,0,2,0,0,5
26889,66,-,中西 佑介,PF,08:31,2,1,1,100.0%,0,0,-,0,2,0.0%,0,0,0,0,1,1,1,0,2,0,0,1
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,1,1,0,2,0,0,0,0,0,0,-1
,,,合計,,200:00,91,37,78,47.4%,12,34,35.3%,5,13,38.5%,12,31,43,26,13,11,6,5,18,0,0,115
