id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
12619,2,〇,山口 健大,SF,26:38,12,5,12,41.7%,2,4,50.0%,0,0,-,0,3,3,1,0,2,0,1,2,0,0,11
9448,3,〇,アンドレ・マレー,PG,37:50,36,14,24,58.3%,5,12,41.7%,3,4,75.0%,2,8,10,5,2,5,1,0,3,0,0,44
9086,8,-,加藤 悠三,SG,04:48,2,1,1,100.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,2
15843,11,-,須田 昂太郎,SG,20:22,3,1,5,20.0%,1,3,33.3%,0,0,-,0,0,0,1,0,1,0,0,2,0,0,1
12599,14,〇,冨岡 大地,PG,30:37,12,5,8,62.5%,1,1,100.0%,1,2,50.0%,0,2,2,8,1,7,0,0,0,0,0,24
9273,21,-,鈴木 豊,SF,01:37,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9438,22,-,中島 卓也,SG,01:53,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-1
12660,50,〇,ジージオ・ベイン,C,32:49,20,10,11,90.9%,0,0,-,0,0,-,2,8,10,1,3,0,1,0,5,0,0,28
26902,60,〇,高田 慶太,SG,19:38,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,1,0,0,5,0,0,0
8640,91,-,佐藤 浩貴,C,07:11,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,3,0,0,0
8740,93,-,伴 晃生,PG,16:37,4,2,5,40.0%,0,2,0.0%,0,0,-,0,1,1,2,2,0,0,0,1,0,0,2
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,1,1,0,1,0,0,0,0,0,0,0
,,,合計,,200:00,89,38,68,55.9%,9,24,37.5%,4,6,66.7%,4,23,27,18,9,16,2,1,21,0,0,111
