id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9249,0,〇,浅野 崇史,SF,17:47,4,2,4,50.0%,0,1,0.0%,0,0,-,1,1,2,2,2,1,0,1,4,0,0,5
9241,3,〇,亀崎 光博,SF,09:56,2,1,1,100.0%,0,0,-,0,0,-,0,3,3,0,1,0,0,0,1,0,0,4
22403,4,-,塚本 雄貴,PG,13:36,6,3,4,75.0%,0,0,-,0,0,-,0,2,2,1,0,1,0,0,0,0,0,9
8543,6,-,館山 健太,10:53,6,2,5,40.0%,2,5,40.0%,0,0,-,0,1,1,1,1,1,0,0,1,0,0,5,
25138,11,-,山梨 歩,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9254,14,〇,地久里 謙成,SF,15:47,3,1,5,20.0%,1,4,25.0%,0,0,-,0,5,5,1,0,0,0,0,3,0,0,5
25137,15,〇,マーセラス・サマービル,PF,35:08,24,10,13,76.9%,2,2,100.0%,2,2,100.0%,2,8,10,4,1,1,0,0,3,0,0,35
10260,18,-,ニヨキゼラ・イーヴェ,C,07:49,0,0,2,0.0%,0,0,-,0,0,-,0,1,1,0,1,0,0,0,0,0,0,-2
9488,22,-,ジャマール・ソープ,SF,19:16,15,4,6,66.7%,1,2,50.0%,6,6,100.0%,2,8,10,0,3,3,0,0,2,0,0,23
8613,51,-,根東 裕隆,PG,16:13,3,1,6,16.7%,1,4,25.0%,0,0,-,0,1,1,5,1,1,0,1,2,0,0,4
9262,77,〇,大金 広弥,PG,26:24,12,5,10,50.0%,1,2,50.0%,1,2,50.0%,1,2,3,2,3,1,0,0,1,0,0,9
10854,99,-,大城 侑朔,PG,27:11,12,5,11,45.5%,2,4,50.0%,0,0,-,0,0,0,2,2,1,0,0,1,0,0,7
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,5,8,0,0,0,0,0,1,0,0,8
,,,合計,,200:00,87,34,67,50.7%,10,24,41.7%,9,10,90.0%,9,37,46,18,15,10,0,2,19,0,0,112
