id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8714,1,〇,大森 勇,PG,15:30,0,0,2,0.0%,0,2,0.0%,0,0,-,0,0,0,4,0,0,0,0,3,0,0,2
8495,3,-,前村 雄大,PG,13:43,4,2,5,40.0%,0,1,0.0%,0,0,-,1,0,1,2,1,1,0,0,0,0,0,4
9397,7,-,頭山 竜之介,PG,01:46,0,0,0,-,0,0,-,0,0,-,0,0,0,0,1,0,0,0,0,0,0,-1
25271,10,-,濵野 凌,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9332,11,〇,ナイジェル・スパイクス,PF,35:52,28,14,24,58.3%,0,1,0.0%,0,4,0.0%,5,7,12,3,5,2,2,0,3,0,0,28
9423,13,〇,比留木 謙司,PF,28:38,9,3,3,100.0%,0,0,-,3,4,75.0%,0,1,1,2,2,1,0,0,2,0,0,10
25272,15,-,若狭 功希,SF,00:42,0,0,0,-,0,0,-,0,2,0.0%,0,0,0,0,0,0,0,0,1,0,0,-2
25273,16,-,小堺 翼,SF,16:56,4,1,3,33.3%,1,3,33.3%,1,3,33.3%,0,2,2,1,1,0,0,0,2,0,0,2
25274,18,-,岡田 陸人,PG,09:01,3,1,2,50.0%,1,2,50.0%,0,0,-,0,1,1,1,2,0,0,0,1,0,0,2
25275,22,〇,向井 祐介,SG,37:28,19,7,12,58.3%,4,8,50.0%,1,1,100.0%,0,1,1,1,0,0,0,0,1,0,0,16
25276,24,-,長谷川 聖,PF,26:09,6,2,4,50.0%,0,0,-,2,2,100.0%,2,2,4,2,1,0,0,0,4,0,0,9
25278,94,〇,延原 慎,PF,14:15,7,2,6,33.3%,0,2,0.0%,3,4,75.0%,0,2,2,0,2,0,0,0,3,0,0,2
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,2,2,0,0,0,0,0,1,0,0,2
,,,合計,,200:00,80,32,61,52.5%,6,19,31.6%,10,20,50.0%,8,18,26,16,15,4,2,0,21,0,0,74
