id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
26885,0,-,山本 郁也,PG,05:47,0,0,0,-,0,0,-,0,0,-,0,1,1,0,1,0,0,0,1,0,0,0
12452,1,-,小川 京介,PG,13:55,3,1,3,33.3%,1,3,33.3%,0,0,-,0,1,1,0,0,0,0,0,2,0,0,2
9456,2,〇,ゲイリー・ハミルトン,C,26:25,8,3,5,60.0%,0,0,-,2,2,100.0%,1,8,9,7,2,0,3,0,1,0,0,23
26920,3,〇,トレイ・ギルダー,PF,30:34,15,5,13,38.5%,2,4,50.0%,3,3,100.0%,1,10,11,3,2,0,1,0,1,0,0,20
26887,11,-,栗原 信彦,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8562,13,〇,小松 秀平,SG,24:54,10,4,5,80.0%,2,3,66.7%,0,0,-,0,0,0,1,2,1,0,0,1,0,0,9
27117,14,-,エバン・イエ－ツ,PF,23:01,11,4,8,50.0%,0,0,-,3,6,50.0%,2,7,9,1,1,0,1,0,1,0,0,14
9344,19,-,徳永 林太郎,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
10832,20,-,渋田 怜音,PG,24:17,8,3,7,42.9%,0,0,-,2,2,100.0%,0,1,1,4,0,0,0,1,3,0,0,9
26888,34,-,井上 諒汰,SF,15:54,10,4,7,57.1%,2,4,50.0%,0,0,-,0,1,1,0,2,1,0,0,0,0,0,7
8570,47,〇,並里 祐,PG,15:26,2,0,3,0.0%,0,0,-,2,2,100.0%,0,0,0,4,2,0,0,0,2,0,0,1
26889,66,〇,中西 佑介,PF,19:47,11,5,8,62.5%,0,3,0.0%,1,2,50.0%,1,0,1,1,2,0,0,0,1,0,0,7
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,2,3,0,0,0,0,0,0,0,0,3
,,,合計,,200:00,78,29,59,49.2%,7,17,41.2%,13,17,76.5%,6,31,37,21,14,2,5,1,13,0,0,95
