id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
15752,2,-,岡田 雄三,PG,25:02,2,1,4,25.0%,0,1,0.0%,0,0,-,1,3,4,6,1,2,0,1,0,0,0,10
9277,3,-,髙橋 理輝,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
26933,5,-,アッサン・ジョップ,C,24:32,8,4,7,57.1%,0,0,-,0,0,-,2,10,12,2,1,1,3,0,2,0,0,22
10853,7,〇,寺部 亮佑,PF,21:16,4,2,4,50.0%,0,1,0.0%,0,2,0.0%,4,1,5,2,0,0,0,0,4,0,0,7
9282,17,〇,石原 裕貴,PG,24:04,9,4,9,44.4%,1,3,33.3%,0,0,-,1,2,3,5,2,1,0,3,1,0,0,11
15835,24,〇,卜部 兼慎,SF,20:48,10,4,8,50.0%,2,5,40.0%,0,0,-,0,1,1,0,2,2,0,1,0,0,0,7
9285,33,-,藤田 俊祐,SF,26:53,9,4,8,50.0%,1,1,100.0%,0,0,-,0,2,2,1,2,0,1,0,2,0,0,7
9435,34,〇,カイル・リチャードソン,PF,34:12,30,9,18,50.0%,0,0,-,12,12,100.0%,4,7,11,3,3,2,0,0,2,0,0,34
9287,37,-,渡邊 拓実,PG,03:55,2,1,1,100.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,2
9289,55,〇,熊澤 恭平,SG,19:18,13,4,5,80.0%,1,1,100.0%,4,4,100.0%,0,4,4,3,1,1,0,0,1,0,0,19
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,4,1,5,0,0,0,0,0,1,0,0,5
,,,合計,,200:00,87,33,64,51.6%,5,12,41.7%,16,18,88.9%,16,31,47,22,12,9,4,5,13,0,0,124
