id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9060,0,-,藤江 建典,SG,10:00,4,2,5,40.0%,0,1,0.0%,0,0,-,0,1,1,1,0,0,0,1,2,0,0,3
9208,00,-,上田 雅也,SG,19:47,14,4,6,66.7%,4,4,100.0%,2,2,100.0%,1,2,3,1,3,0,0,0,4,0,0,13
8717,1,-,澤口 誠,PG,05:09,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,0,3,0,0,0,1,0,0,-4
8715,5,-,千葉 慎也,SF,02:26,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2,0,0,0
9497,6,〇,今井 宏樹,PG,18:28,0,0,1,0.0%,0,1,0.0%,0,2,0.0%,0,2,2,3,1,2,0,0,2,0,0,3
25136,8,〇,エリック・ニッセン,PF,23:56,8,3,5,60.0%,0,1,0.0%,2,6,33.3%,1,8,9,1,2,1,0,0,4,0,0,11
10892,9,〇,中野 広大,SG,29:30,12,4,7,57.1%,2,4,50.0%,2,2,100.0%,1,5,6,3,1,0,0,0,1,0,0,17
8544,15,-,下山 貴裕,PF,05:27,2,1,1,100.0%,0,0,-,0,0,-,0,2,2,0,1,0,0,0,0,0,0,3
9234,16,〇,伊藤 良太,PG,10:13,4,1,2,50.0%,0,0,-,2,3,66.7%,0,1,1,5,0,0,0,0,2,0,0,8
9246,30,-,髙橋 幸大,PG,26:53,11,3,7,42.9%,1,4,25.0%,4,4,100.0%,1,1,2,4,1,0,0,0,1,0,0,12
10843,35,〇,ジャスティン・ヘラルド,C,32:08,25,12,16,75.0%,0,1,0.0%,1,2,50.0%,2,5,7,2,3,3,1,0,3,0,0,30
12591,99,-,バンバ ・ジュフ,PF,16:03,10,3,4,75.0%,1,1,100.0%,3,6,50.0%,0,3,3,1,3,0,0,0,5,0,0,7
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,1,4,0,1,0,0,0,0,0,0,3
,,,合計,,200:00,90,33,55,60.0%,8,17,47.1%,16,27,59.3%,9,31,40,21,19,6,1,1,27,0,0,106
