id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9249,0,-,浅野 崇史,SF,05:09,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,1,0,0,1
18404,2,〇,ルブライアン・ナッシュ,SF,36:04,27,9,15,60.0%,1,2,50.0%,8,9,88.9%,1,8,9,6,2,0,0,0,2,0,0,33
9241,3,〇,亀崎 光博,SF,14:12,3,1,3,33.3%,1,2,50.0%,0,0,-,2,2,4,0,1,0,0,1,1,0,0,4
22403,4,-,塚本 雄貴,PG,00:56,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,0,0,0,0,0,1
8543,6,-,館山 健太,25:48,6,2,5,40.0%,2,3,66.7%,0,0,-,0,0,0,0,1,0,1,1,3,0,0,3,
25138,11,-,山梨 歩,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9254,14,〇,地久里 謙成,SF,10:19,0,0,1,0.0%,0,1,0.0%,0,0,-,0,1,1,2,0,0,1,0,1,0,0,3
25137,15,〇,マーセラス・サマービル,PF,37:51,26,9,17,52.9%,4,6,66.7%,4,5,80.0%,5,9,14,7,3,1,0,1,3,0,0,36
10260,18,-,ニヨキゼラ・イーヴェ,C,00:56,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,0,0,0,1
8613,51,-,根東 裕隆,PG,24:10,3,1,7,14.3%,1,3,33.3%,0,0,-,0,4,4,4,1,1,0,0,4,0,0,5
9262,77,〇,大金 広弥,PG,25:39,14,4,8,50.0%,1,2,50.0%,5,5,100.0%,0,1,1,6,1,2,0,0,4,0,0,18
10854,99,-,大城 侑朔,PG,18:56,20,8,10,80.0%,4,4,100.0%,0,1,0.0%,0,0,0,1,1,2,0,0,2,0,0,19
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,0,1,0,1,0,0,0,0,0,0,0
,,,合計,,200:00,99,34,66,51.5%,14,23,60.9%,17,20,85.0%,9,27,36,27,11,6,2,3,21,0,0,124
