id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
25263,1,〇,クリストファー・ウォッシュバーン・ジュニア,PF,37:44,26,8,14,57.1%,3,7,42.9%,7,11,63.6%,2,12,14,7,5,2,1,0,4,0,0,35
9396,5,-,鮫島 和人,PG,19:15,3,0,4,0.0%,0,1,0.0%,3,4,75.0%,2,1,3,4,1,0,0,1,3,0,0,4
9406,8,-,玉田 博人,SG,02:52,2,1,1,100.0%,0,0,-,0,0,-,0,0,0,1,0,0,0,0,1,0,0,3
9401,10,〇,林 亮太,PG,18:27,6,2,4,50.0%,2,3,66.7%,0,0,-,0,1,1,2,0,0,0,0,2,0,0,7
9402,12,〇,藤田 浩司,SF,23:23,2,0,2,0.0%,0,0,-,2,2,100.0%,0,1,1,1,0,1,1,0,2,0,0,4
18469,21,〇,シェルトン・ボイキン,PF,33:12,27,9,15,60.0%,4,8,50.0%,5,5,100.0%,1,2,3,5,4,1,0,1,4,0,0,26
9409,41,-,松崎 圭介,SG,18:33,5,1,3,33.3%,1,2,50.0%,2,2,100.0%,0,0,0,0,0,1,0,0,2,0,0,4
9410,51,-,安慶 大樹,PF,09:08,7,3,3,100.0%,0,0,-,1,2,50.0%,0,0,0,1,0,0,0,0,1,0,0,7
18425,59,-,福田 惟吹,PF,09:04,3,1,2,50.0%,0,0,-,1,2,50.0%,0,0,0,0,0,0,0,0,1,0,0,1
15842,77,〇,川上 貴一,SF,28:22,10,4,9,44.4%,2,5,40.0%,0,0,-,0,1,1,3,2,0,0,0,2,0,0,7
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,2,3,0,0,0,0,0,0,0,0,3
,,,合計,,200:00,91,29,57,50.9%,12,26,46.2%,21,28,75.0%,6,20,26,24,12,5,2,2,22,0,0,101
