id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
10850,1,〇,関野 剛平,28:25,9,3,7,42.9%,2,6,33.3%,1,3,33.3%,0,0,0,2,2,0,0,0,2,4,0,3,
26921,2,〇,セバスチャン・サイズ,32:04,12,5,17,29.4%,0,2,0.0%,2,2,100.0%,1,10,11,3,3,2,0,0,4,3,0,13,
8784,3,-,ファイ サンバ,13:32,0,0,0,-,0,0,-,0,2,0.0%,0,4,4,0,1,1,0,0,0,1,0,2,
8447,9,-,ベンドラメ 礼生,26:19,11,3,12,25.0%,1,4,25.0%,4,4,100.0%,0,0,0,4,2,0,0,1,3,5,0,4,
26922,10,〇,チャールズ・ジャクソン,34:24,23,11,14,78.6%,0,0,-,1,3,33.3%,7,2,9,4,2,3,0,0,2,3,4,32,
10820,14,〇,杉浦 佑成,29:44,14,4,10,40.0%,4,9,44.4%,2,2,100.0%,1,0,1,1,2,0,0,1,2,1,0,8,
9329,16,〇,渡辺 竜之佑,23:26,4,2,4,50.0%,0,1,0.0%,0,0,-,1,1,2,4,0,5,0,0,2,0,0,13,
8658,32,-,山内 盛久,12:06,0,0,1,0.0%,0,0,-,0,0,-,0,1,1,2,1,2,0,0,2,1,0,3,
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,0,3,0,1,0,0,0,0,0,0,2
,,,合計,,200:00,73,28,65,43.1%,7,22,31.8%,10,16,62.5%,13,18,31,20,14,13,0,2,17,18,4,80
