id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
18440,1,〇,ジョシュ・ダンカン,PF,21:16,14,4,5,80.0%,0,0,-,6,7,85.7%,1,3,4,1,1,0,0,0,3,5,18
9055,2,〇,富樫 勇樹,PG,26:07,13,4,10,40.0%,3,7,42.9%,2,3,66.7%,0,3,3,2,1,1,0,0,2,1,10
22497,4,-,コー・フリッピン,PG/SG,17:44,6,2,4,50.0%,0,1,0.0%,2,2,100.0%,0,0,0,4,0,1,0,0,2,3,10
8468,5,-,田口 成浩,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
30465,6,-,赤穂 雷太,SG/SF,00:54,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,0,0,1
8580,11,-,西村 文男,PG,13:47,6,2,4,50.0%,2,4,50.0%,0,0,-,0,0,0,2,0,0,0,0,4,0,2
32990,12,-,シャノン・ショーター,SG/SF,29:50,9,3,10,30.0%,0,4,0.0%,3,3,100.0%,2,2,4,5,4,1,1,0,2,4,11
15811,14,〇,佐藤 卓磨,SG/SF,11:59,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,2,0,0,0,0,0,-3
8736,15,-,藤永 佳昭,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
8593,21,-,ギャビン・エドワーズ,PF,29:50,15,5,9,55.6%,0,1,0.0%,5,7,71.4%,5,7,12,1,2,0,0,1,4,5,20
26921,22,〇,セバスチャン・サイズ,C/PF,28:06,13,6,13,46.2%,0,1,0.0%,1,2,50.0%,6,10,16,2,3,2,2,1,0,3,26
8584,31,〇,原 修太,SG/SF,20:27,9,4,9,44.4%,1,3,33.3%,0,0,-,0,0,0,2,1,1,0,1,2,2,5
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,2,4,0,1,0,0,0,0,0,0
,,,合計,,200:00,85,30,65,46.2%,6,22,27.3%,19,24,79.2%,16,28,44,19,15,6,3,3,19,23,103
