id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
26928,0,-,マーク・セントフォート,18:54,18,5,9,55.6%,1,3,33.3%,7,7,100.0%,2,7,9,1,5,1,0,1,2,5,22,
30436,1,-,星野 曹樹,SF,02:09,0,0,1,0.0%,0,1,0.0%,0,0,-,0,1,1,0,0,0,0,0,0,0,0
32978,3,-,大矢 孝太朗,SF,08:29,2,1,1,100.0%,0,0,-,0,2,0.0%,0,1,1,0,0,0,0,0,0,1,2
26911,5,〇,リチャード・ヘンドリックス,20:56,6,3,5,60.0%,0,2,0.0%,0,0,-,1,3,4,1,3,1,0,0,4,0,2,
8645,7,-,五十嵐 圭,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
10894,13,〇,柏倉 哲平,PG,30:33,5,1,7,14.3%,1,4,25.0%,2,2,100.0%,0,5,5,4,0,0,0,0,3,2,7
30399,21,〇,納見 悠仁,PG/SG,35:10,12,5,10,50.0%,1,4,25.0%,1,2,50.0%,1,1,2,10,2,2,0,1,3,5,19
8475,23,-,佐藤 公威,SG,11:41,0,0,3,0.0%,0,2,0.0%,0,0,-,0,0,0,0,1,0,0,0,2,0,-6
18433,25,〇,ロスコ・アレン,SF/PF,32:32,16,5,10,50.0%,1,3,33.3%,5,5,100.0%,1,7,8,0,4,0,1,0,1,5,20
8476,32,-,池田 雄一,SF,12:19,3,1,3,33.3%,1,3,33.3%,0,0,-,0,0,0,0,0,0,0,0,2,0,-1
15816,33,〇,林 翔太郎,SF,27:17,7,2,9,22.2%,2,5,40.0%,1,2,50.0%,1,2,3,1,1,0,0,0,0,1,3
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,0,1,0,0,0,0,0,0,0,0
,,,合計,,200:00,69,23,58,39.7%,7,27,25.9%,16,20,80.0%,7,27,34,17,16,4,1,2,17,19,69
