id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
10850,1,〇,関野 剛平,SG/SF,13:34,0,0,3,0.0%,0,3,0.0%,0,0,-,0,0,0,0,0,0,0,0,0,0,-3
8447,9,〇,ベンドラメ 礼生,PG,19:17,10,4,9,44.4%,2,4,50.0%,0,0,-,1,4,5,5,2,4,0,1,1,2,17
26922,10,〇,チャールズ・ジャクソン,C,28:11,14,7,11,63.6%,0,0,-,0,0,-,3,4,7,2,2,2,0,1,1,2,19
32992,14,-,ジェームズ・マイケル・マカドゥ,C/PF,19:29,14,5,7,71.4%,0,0,-,4,5,80.0%,3,5,8,1,1,0,0,1,1,4,21
9329,16,-,渡辺 竜之佑,PG/SG,11:46,2,1,2,50.0%,0,0,-,0,0,-,1,0,1,1,3,1,0,1,2,0,-2
8512,23,-,野口 大介,PF,04:14,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,0,0,0,0,1
8450,24,-,広瀬 健太,SF,11:19,6,2,4,50.0%,1,1,100.0%,1,2,50.0%,1,0,1,1,1,2,0,0,1,1,6
8583,27,-,石井 講祐,SG,16:48,6,2,6,33.3%,2,3,66.7%,0,0,-,1,3,4,1,0,2,0,0,3,1,7
8658,32,-,山内 盛久,PG/SG,10:28,0,0,1,0.0%,0,0,-,0,0,-,0,2,2,0,0,0,0,0,2,0,-1
18398,34,〇,ライアン・ケリー,SF/PF,28:06,27,11,18,61.1%,4,9,44.4%,1,1,100.0%,0,5,5,4,1,1,0,0,2,2,29
19998,44,〇,盛實 海翔,SG,16:49,4,1,5,20.0%,0,3,0.0%,2,2,100.0%,0,1,1,1,2,0,0,0,1,1,0
8571,73,-,田渡 修人,SG,19:59,2,1,3,33.3%,0,1,0.0%,0,0,-,2,1,3,2,0,0,0,0,3,0,2
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
,,,合計,,200:00,85,34,69,49.3%,9,24,37.5%,8,10,80.0%,12,25,37,19,12,12,0,4,17,13,96
