id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
8836,5,-,山本 エドワード,PG,04:28,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,2,2,0,0,0,2,0,-3
8547,8,〇,西山 達哉,PG,32:06,13,4,10,40.0%,3,9,33.3%,2,2,100.0%,1,0,1,5,2,0,0,0,2,4,13
18428,12,-,栗原 ルイス,SG,20:31,5,2,7,28.6%,1,6,16.7%,0,0,-,0,2,2,0,0,0,0,0,4,0,-2
8458,15,-,佐藤 託矢,PF,00:43,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
18429,19,〇,大崎 裕太,PG/SG,26:08,0,0,4,0.0%,0,4,0.0%,0,0,-,0,7,7,2,0,0,0,1,1,1,4
9064,21,-,増子 匠,PG/SG,00:43,0,0,0,-,0,0,-,0,0,-,0,0,0,0,1,0,0,0,0,0,-1
12598,24,-,ジョシュ・ホーキンソン,C/PF,24:36,5,1,8,12.5%,0,4,0.0%,3,4,75.0%,1,11,12,2,1,1,0,0,2,3,12
33036,27,-,ヤン ジェミン,SF,02:47,0,0,3,0.0%,0,3,0.0%,0,0,-,0,0,0,0,0,0,0,0,0,0,-3
10842,31,〇,三ツ井 利也,SF,21:37,6,2,4,50.0%,2,4,50.0%,0,0,-,2,1,3,0,1,0,0,0,1,1,6
8585,34,-,小野 龍猛,SF,11:40,2,1,2,50.0%,0,1,0.0%,0,0,-,0,1,1,0,1,0,0,1,1,0,-1
8843,50,〇,ウェイン・マーシャル,C,26:23,19,5,8,62.5%,0,2,0.0%,9,12,75.0%,2,2,4,2,2,0,3,0,4,9,25
8651,55,〇,アンソニー・マクヘンリー,C/PF,28:18,7,3,9,33.3%,1,4,25.0%,0,0,-,1,1,2,2,3,0,0,1,4,2,-1
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,0,2,0,1,0,0,0,0,0,0
,,,合計,,200:00,57,18,56,32.1%,7,38,18.4%,14,18,77.8%,9,25,34,15,14,1,3,3,21,20,50
