id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
9264,1,-,後藤 翔平,SG,01:59,1,0,1,0.0%,0,1,0.0%,1,2,50.0%,0,2,2,0,0,1,0,0,0,1,3
9310,5,-,山下 泰弘,PG,13:03,3,1,2,50.0%,1,2,50.0%,0,0,-,0,0,0,2,1,0,0,0,0,0,3
8532,6,〇,北川 弘,PG,18:08,5,2,9,22.2%,1,6,16.7%,0,0,-,1,0,1,1,0,1,0,0,2,1,0
33094,7,-,ペリン・ビュフォード,SF,27:37,24,7,10,70.0%,3,4,75.0%,7,9,77.8%,1,5,6,6,4,1,1,0,2,7,34
15756,13,-,阿部 諒,SG,17:36,7,2,2,100.0%,1,1,100.0%,2,2,100.0%,1,1,2,1,1,1,0,0,2,1,9
10820,14,〇,杉浦 佑成,SG/SF,18:18,2,1,6,16.7%,0,3,0.0%,0,0,-,0,3,3,1,3,0,0,2,2,1,-5
8734,15,〇,白濱 僚祐,SG/SF,24:11,2,1,3,33.3%,0,0,-,0,0,-,0,2,2,1,0,1,0,1,0,0,3
9283,22,-,小阪 彰久,PF,05:27,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0,0,4,0,-5
26913,24,〇,デモン・ブルックス,PF,37:20,24,10,17,58.8%,2,5,40.0%,2,2,100.0%,2,11,13,2,2,1,0,0,2,2,31
9345,28,〇,ウィリアムス ニカ,C,35:36,4,2,6,33.3%,0,0,-,0,0,-,2,2,4,0,0,2,1,1,2,2,6
15855,75,-,神里 和,PG,00:45,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,2,3,0,1,0,0,0,0,0,0
,,,合計,,200:00,72,26,57,45.6%,8,23,34.8%,12,15,80.0%,8,28,36,14,12,8,2,4,16,15,81
