id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
8721,1,〇,川村 卓也,SG,27:07,6,2,5,40.0%,2,3,66.7%,0,0,-,1,3,4,3,0,1,0,0,2,1,10
8588,3,-,柏木 真介,PG,11:01,3,1,2,50.0%,1,1,100.0%,0,0,-,0,1,1,3,0,0,0,0,3,0,3
33091,5,〇,カイル・コリンズワース,PG,23:03,10,5,9,55.6%,0,1,0.0%,0,0,-,2,2,4,4,1,1,1,0,3,0,12
18399,7,-,長野 誠史,PG,13:53,0,0,4,0.0%,0,2,0.0%,0,0,-,1,0,1,3,0,0,0,0,5,0,-5
10818,8,-,高橋 耕陽,SG/SF,03:42,3,1,1,100.0%,1,1,100.0%,0,0,-,0,1,1,0,1,0,0,0,0,0,3
19957,11,-,熊谷 航,PG,13:57,1,0,4,0.0%,0,3,0.0%,1,2,50.0%,0,0,0,1,0,0,0,0,3,2,-4
8592,14,〇,金丸 晃輔,SF,27:17,11,3,10,30.0%,2,8,25.0%,3,3,100.0%,0,2,2,1,0,0,0,0,0,5,12
8688,15,-,根來 新之助,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
33093,21,-,シェーン・ウィティングトン,C/PF,25:24,16,6,9,66.7%,2,4,50.0%,2,3,66.7%,2,8,10,1,1,1,1,0,1,3,26
8595,24,-,加藤 寿一,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
19956,32,〇,シェーファー アヴィ幸樹,C/PF,23:03,11,5,8,62.5%,1,3,33.3%,0,2,0.0%,2,4,6,2,1,0,0,0,1,2,14
9040,54,〇,ダバンテ・ガードナー,PF,31:33,23,10,13,76.9%,1,1,100.0%,2,3,66.7%,0,4,4,2,2,0,0,0,2,4,25
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,0,0,0,1,0,0,0,0,0,0
,,,合計,,200:00,84,33,65,50.8%,10,27,37.0%,8,13,61.5%,8,25,33,20,7,3,2,0,20,17,95
