id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
5100000003,0,-,デション・トーマス,PF,22:45,26,7,11,63.6%,2,3,66.7%,10,11,90.9%,1,6,7,1,0,0,0,0,3,6,32
8456,1,〇,小島 元基,PG,18:30,2,1,2,50.0%,0,1,0.0%,0,0,-,0,1,1,2,1,0,0,0,1,1,3
8467,3,-,安藤 誓哉,PG,20:34,8,2,7,28.6%,0,2,0.0%,4,4,100.0%,0,3,3,4,0,0,0,0,2,4,12
20017,5,-,ケビン・ジョーンズ,PF,26:18,19,7,10,70.0%,3,5,60.0%,2,2,100.0%,3,3,6,1,2,0,1,0,2,2,22
9031,10,-,ザック・バランスキー,SF/PF,22:20,0,0,3,0.0%,0,2,0.0%,0,0,-,1,3,4,1,0,1,0,0,2,1,2
8494,11,-,須田 侑太郎,SG/SF,16:22,4,2,3,66.7%,0,0,-,0,0,-,0,2,2,1,0,1,0,0,3,0,4
9032,13,〇,菊地 祥平,SF,12:19,0,0,0,-,0,0,-,0,0,-,0,2,2,0,1,0,0,0,0,0,1
9033,15,〇,竹内 譲次,C/PF,05:23,2,0,1,0.0%,0,1,0.0%,2,2,100.0%,1,1,2,0,0,0,0,0,0,2,5
15838,21,-,平岩 玄,C,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
9037,24,〇,田中 大貴,SG,29:55,13,5,14,35.7%,2,6,33.3%,1,1,100.0%,0,4,4,5,1,0,0,0,0,2,14
8654,26,-,津山 尚大,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
12582,53,〇,アレックス・カーク,C,25:34,9,3,9,33.3%,0,1,0.0%,3,5,60.0%,4,2,6,1,3,0,1,0,1,4,9
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,1,3,0,0,0,0,0,0,0,0
,,,合計,,200:00,83,27,60,45.0%,7,21,33.3%,22,25,88.0%,12,28,40,16,8,2,2,0,14,22,107
