id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
33037,0,-,ジョナサン・オクテウス,PG/SG,14:39,7,3,5,60.0%,1,1,100.0%,0,0,-,0,0,0,1,0,0,0,0,3,0,3
8615,1,-,村上 駿斗,PG/SG,16:56,0,0,4,0.0%,0,0,-,0,0,-,0,0,0,1,1,0,0,1,1,0,-6
8590,4,〇,狩俣 昌也,PG,23:21,2,0,3,0.0%,0,2,0.0%,2,2,100.0%,1,1,2,3,6,1,0,0,0,1,0
33038,5,〇,ジョーダン・ハミルトン,SF/PF,29:17,10,4,8,50.0%,0,0,-,2,4,50.0%,0,10,10,8,8,3,0,2,2,4,16
8483,7,-,晴山 ケビン,SF,26:39,20,6,10,60.0%,5,9,55.6%,3,3,100.0%,1,2,3,1,1,0,0,0,4,2,17
22496,11,-,今川 友哲,SF/PF,09:53,3,1,3,33.3%,0,0,-,1,2,50.0%,1,0,1,1,1,0,0,1,0,1,1
33039,12,〇,アンガス・ブラント,C,36:04,19,9,10,90.0%,0,0,-,1,3,33.3%,4,10,14,5,0,0,0,0,2,7,40
5100000028,16,〇,野本 大智,PG,14:21,8,2,4,50.0%,0,2,0.0%,4,4,100.0%,1,0,1,3,2,0,1,0,2,2,9
9039,35,-,伊藤 大司,PG,13:04,4,1,5,20.0%,1,3,33.3%,1,2,50.0%,0,0,0,1,0,2,0,0,1,3,4
10262,45,-,頓宮 裕人,C/PF,03:56,3,1,1,100.0%,1,1,100.0%,0,0,-,0,0,0,0,0,0,0,0,1,0,2
30402,77,〇,前田 怜緒,SG/SF,11:50,0,0,2,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0,0,3,0,-5
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,0,2,0,1,0,0,0,0,0,0
,,,合計,,200:00,76,27,55,49.1%,8,19,42.1%,14,20,70.0%,10,23,33,24,20,6,1,4,19,20,82
