id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
15852,0,-,ジャマリ・トレイラー,19:38,10,4,9,44.4%,0,1,0.0%,2,3,66.7%,0,5,5,1,1,0,0,0,2,2,9,
8608,1,〇,トーマス・ケネディ,SF/PF,23:46,13,5,11,45.5%,1,4,25.0%,2,2,100.0%,0,1,1,1,0,0,0,0,0,1,10
8534,2,-,朝山 正悟,SG/SF,28:56,3,1,3,33.3%,1,2,50.0%,0,0,-,0,2,2,1,1,0,0,0,1,1,3
8839,3,-,岡本 飛竜,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
32995,5,〇,アイザイア・マーフィー,PG/SG,26:45,11,5,9,55.6%,0,2,0.0%,1,1,100.0%,0,3,3,2,2,2,1,0,2,1,12
18432,8,〇,グレゴリー・エチェニケ,C/PF,36:36,24,10,16,62.5%,0,0,-,4,4,100.0%,4,8,12,0,2,0,2,1,3,4,30
12454,21,〇,田渡 凌,PG,25:45,4,2,6,33.3%,0,1,0.0%,0,0,-,0,2,2,11,1,1,0,1,1,0,11
8528,24,〇,田中 成也,SG,24:19,4,1,4,25.0%,0,2,0.0%,2,2,100.0%,0,0,0,0,1,0,0,0,1,1,0
8582,25,-,荒尾 岳,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
9348,30,-,古野 拓巳,PG,14:15,2,0,4,0.0%,0,2,0.0%,2,2,100.0%,0,2,2,2,1,0,0,0,1,2,2
8470,55,-,谷口 大智,C/PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
22491,77,-,森山 修斗,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,3,6,0,0,0,0,0,0,0,0
,,,合計,,200:00,71,28,62,45.2%,2,14,14.3%,13,14,92.9%,7,26,33,18,9,3,3,2,11,12,83
