id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
8614,2,-,山本 柊輔,PG,10:43,4,1,5,20.0%,0,2,0.0%,2,2,100.0%,1,0,1,0,0,0,0,1,2,1,-1
18148,4,-,寺園 脩斗,PG,18:23,7,3,8,37.5%,1,3,33.3%,0,0,-,1,2,3,2,4,0,0,0,3,0,0
8727,5,〇,川嶋 勇人,SG,29:19,9,2,9,22.2%,1,5,20.0%,4,4,100.0%,0,2,2,2,1,5,0,0,2,6,14
25148,6,〇,北原 秀明,SG,24:11,7,3,11,27.3%,1,3,33.3%,0,0,-,0,1,1,2,2,0,0,2,5,0,-7
8565,8,〇,太田 敦也,C,32:05,10,4,7,57.1%,0,0,-,2,2,100.0%,1,8,9,2,2,0,0,1,4,5,16
30514,10,-,山本 浩太,13:16,2,1,3,33.3%,0,0,-,0,0,-,1,3,4,1,0,1,0,1,1,0,4,
8567,11,〇,岡田 慎吾,SG,29:45,6,3,5,60.0%,0,2,0.0%,0,0,-,1,4,5,2,1,1,0,0,2,0,9
8568,15,〇,鈴木 達也,PG,32:06,12,4,12,33.3%,1,3,33.3%,3,4,75.0%,1,1,2,2,6,3,0,1,0,4,7
8544,51,-,下山 貴裕,10:13,0,0,3,0.0%,0,0,-,0,0,-,1,0,1,1,0,0,0,0,1,1,-1,
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,3,6,0,1,0,0,0,0,0,0
,,,合計,,200:00,57,21,63,33.3%,4,18,22.2%,11,12,91.7%,10,24,34,14,17,10,0,6,20,17,46
