id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
10850,1,〇,関野 剛平,SG/SF,14:05,2,1,4,25.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0,1,0,2,0
8447,9,〇,ベンドラメ 礼生,PG,15:27,5,2,5,40.0%,1,1,100.0%,0,0,-,0,0,0,0,2,1,0,0,3,0,-2
26922,10,〇,チャールズ・ジャクソン,C,19:19,9,4,9,44.4%,0,0,-,1,3,33.3%,3,0,3,3,1,0,0,1,2,4,8
32992,14,-,ジェームズ・マイケル・マカドゥ,C/PF,20:49,15,6,13,46.2%,0,0,-,3,6,50.0%,5,5,10,0,0,0,0,0,1,3,17
9329,16,〇,渡辺 竜之佑,PG/SG,17:31,0,0,3,0.0%,0,0,-,0,0,-,2,1,3,3,2,0,0,2,1,1,-1
8512,23,-,野口 大介,PF,17:43,8,3,7,42.9%,1,3,33.3%,1,1,100.0%,2,3,5,0,0,0,1,1,1,1,9
8450,24,-,広瀬 健太,SF,14:24,7,2,3,66.7%,1,2,50.0%,2,2,100.0%,0,0,0,0,2,0,0,0,1,2,5
8583,27,-,石井 講祐,SG,12:28,0,0,4,0.0%,0,4,0.0%,0,0,-,0,0,0,0,0,2,0,0,2,0,-4
8658,32,-,山内 盛久,PG/SG,18:03,2,1,6,16.7%,0,1,0.0%,0,0,-,1,2,3,6,1,1,0,1,1,2,6
18398,34,〇,ライアン・ケリー,SF/PF,22:09,13,4,8,50.0%,1,3,33.3%,4,6,66.7%,0,3,3,2,0,1,1,0,2,4,16
19998,44,-,盛實 海翔,SG,10:01,2,0,2,0.0%,0,2,0.0%,2,2,100.0%,2,0,2,2,3,0,0,0,1,1,1
8571,73,-,田渡 修人,SG,18:02,3,1,6,16.7%,1,5,20.0%,0,0,-,0,0,0,2,1,0,0,0,3,0,-4
