id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
9055,2,〇,富樫 勇樹,PG,29:09,28,8,17,47.1%,5,12,41.7%,7,7,100.0%,1,5,6,3,4,0,0,0,2,7,29
22497,4,-,コー・フリッピン,PG/SG,12:47,3,1,2,50.0%,0,1,0.0%,1,2,50.0%,0,0,0,2,0,0,0,0,2,1,2
8468,5,-,田口 成浩,SG,06:17,0,0,2,0.0%,0,2,0.0%,0,0,-,0,0,0,0,1,0,0,0,0,2,-1
30465,6,〇,赤穂 雷太,SG/SF,20:24,2,1,3,33.3%,0,1,0.0%,0,0,-,0,1,1,0,0,0,0,0,3,0,-2
8653,8,-,大宮 宏正,PF,03:38,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,-1
8580,11,-,西村 文男,PG,12:13,5,2,5,40.0%,1,4,25.0%,0,0,-,0,1,1,1,0,0,0,0,3,0,1
32990,12,〇,シャノン・ショーター,SG/SF,37:09,11,3,10,30.0%,0,4,0.0%,5,6,83.3%,0,9,9,5,1,0,1,1,2,3,17
15811,14,〇,佐藤 卓磨,SG/SF,18:43,2,1,2,50.0%,0,0,-,0,0,-,0,1,1,1,1,2,0,0,3,0,1
8736,15,-,藤永 佳昭,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
26921,22,〇,セバスチャン・サイズ,C/PF,33:09,11,3,9,33.3%,0,2,0.0%,5,11,45.5%,3,12,15,2,4,1,0,1,5,8,15
8584,31,-,原 修太,SG/SF,26:31,10,4,7,57.1%,2,4,50.0%,0,0,-,0,0,0,2,1,1,1,0,4,0,6
