id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
30400,0,〇,寺嶋 良,PG,23:17,4,2,7,28.6%,0,3,0.0%,0,0,-,0,3,3,4,2,3,1,1,1,1,7
30401,7,-,大庭 岳輝,SG,01:17,3,1,2,50.0%,1,2,50.0%,0,0,-,0,0,0,0,0,0,0,0,1,0,1
30469,11,-,久保田 義章,PG,16:43,0,0,2,0.0%,0,1,0.0%,0,0,-,0,1,1,6,0,0,0,0,3,3,5
9034,16,-,松井 啓十郎,SG,16:31,11,3,6,50.0%,2,5,40.0%,3,4,75.0%,1,2,3,1,0,0,0,0,1,3,13
10844,21,〇,満田 丈太郎,SG/SF,20:01,4,2,4,50.0%,0,1,0.0%,0,0,-,0,0,0,2,1,1,0,1,1,0,2
33031,23,-,レイヴォンテ・ライス,PG,24:56,23,8,12,66.7%,3,5,60.0%,4,4,100.0%,1,2,3,3,0,2,0,0,0,3,30
9317,24,-,石谷 聡,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
30519,29,〇,細川 一輝,SG,17:15,8,3,7,42.9%,2,5,40.0%,0,0,-,1,2,3,0,1,0,0,0,1,0,5
8459,33,-,内海 慎吾,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
18442,34,〇,ベンジャミン・ローソン,26:55,12,6,8,75.0%,0,0,-,0,1,0.0%,3,10,13,0,0,2,0,0,1,3,26,
8493,43,-,永吉 佑也,C/PF,24:56,7,3,7,42.9%,1,2,50.0%,0,0,-,1,3,4,2,1,0,0,0,0,0,8
18460,50,〇,デイヴィッド・サイモン,C,28:09,12,3,9,33.3%,0,0,-,6,8,75.0%,2,4,6,2,2,1,0,0,1,5,15
