id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
32978,3,-,大矢 孝太朗,SF,00:16,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,-1
22399,5,-,アレン・ダーラム,C/PF,25:18,15,6,10,60.0%,0,1,0.0%,3,6,50.0%,4,8,12,1,2,1,0,0,2,5,23
8645,7,〇,五十嵐 圭,PG,24:26,4,2,8,25.0%,0,5,0.0%,0,0,-,1,2,3,4,3,1,0,0,1,0,2
10894,13,-,柏倉 哲平,PG,21:51,0,0,6,0.0%,0,4,0.0%,0,0,-,1,2,3,6,0,0,0,1,1,0,1
30403,19,-,西田 優大,SG,23:01,6,3,7,42.9%,0,2,0.0%,0,0,-,0,1,1,1,1,2,0,2,3,0,0
30399,21,〇,納見 悠仁,PG/SG,07:57,3,1,3,33.3%,1,3,33.3%,0,0,-,0,1,1,0,0,0,0,1,1,0,0
8475,23,〇,佐藤 公威,SG,15:28,3,1,3,33.3%,1,3,33.3%,0,0,-,0,2,2,0,1,0,0,1,0,0,1
18433,25,〇,ロスコ・アレン,SF/PF,27:56,22,7,12,58.3%,0,4,0.0%,8,10,80.0%,2,8,10,1,5,1,1,0,2,6,27
10852,30,-,水野 幹太,PG,00:16,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,-1
8476,32,-,池田 雄一,SF,14:04,0,0,2,0.0%,0,2,0.0%,0,0,-,0,0,0,0,0,1,0,0,1,0,-2
15816,33,-,林 翔太郎,SF,12:57,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,1,1,0,0,0,1,0,-2
9403,42,〇,ジェイソン・ウォッシュバーン,C,26:30,14,6,10,60.0%,2,4,50.0%,0,0,-,0,3,3,2,2,1,1,1,1,0,13
