id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
9264,1,-,後藤 翔平,SG,08:28,5,2,3,66.7%,0,0,-,1,2,50.0%,1,1,2,0,0,0,0,0,2,1,4
9310,5,-,山下 泰弘,PG,12:59,0,0,4,0.0%,0,2,0.0%,0,0,-,0,0,0,2,0,0,0,0,2,0,-4
8532,6,〇,北川 弘,PG,19:53,9,3,8,37.5%,3,6,50.0%,0,0,-,2,1,3,1,1,0,0,0,4,1,4
33094,7,-,ペリン・ビュフォード,SF,25:39,13,6,12,50.0%,1,3,33.3%,0,1,0.0%,1,6,7,5,1,0,4,0,2,5,24
33095,8,〇,リード・トラビス,PF,10:48,0,0,2,0.0%,0,1,0.0%,0,0,-,1,3,4,1,1,1,0,0,1,0,2
15756,13,-,阿部 諒,SG,13:06,5,2,5,40.0%,1,2,50.0%,0,0,-,1,3,4,0,0,2,0,1,0,1,8
10820,14,〇,杉浦 佑成,SG/SF,20:58,7,2,5,40.0%,1,2,50.0%,2,2,100.0%,0,1,1,2,1,1,0,0,0,1,8
8734,15,〇,白濱 僚祐,SG/SF,12:25,5,2,3,66.7%,1,1,100.0%,0,0,-,1,0,1,0,0,1,0,0,3,0,3
9283,22,-,小阪 彰久,PF,07:02,1,0,3,0.0%,0,2,0.0%,1,2,50.0%,0,1,1,1,1,0,0,1,2,1,-4
26913,24,〇,デモン・ブルックス,PF,33:22,11,4,18,22.2%,2,7,28.6%,1,2,50.0%,3,4,7,1,1,1,0,3,3,1,-1
9345,28,-,ウィリアムス ニカ,C,28:12,9,3,8,37.5%,0,0,-,3,4,75.0%,3,4,7,1,0,2,0,3,2,4,12
15855,75,-,神里 和,PG,07:08,0,0,0,-,0,0,-,0,0,-,0,0,0,1,1,1,0,0,1,1,1
