id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
10849,2,-,伊藤 達哉,PG,16:23,2,0,2,0.0%,0,0,-,2,2,100.0%,0,2,2,4,2,2,0,1,1,1,5
32984,3,〇,エリエット・ドンリー,SF,16:26,9,3,6,50.0%,3,4,75.0%,0,0,-,0,2,2,2,1,1,0,0,2,2,10
10258,7,-,土屋 アリスター時生,C/PF,02:04,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
32982,8,-,角野 亮伍,SF,03:24,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
5100000010,9,-,藤本 巧太,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
32983,10,-,駒水 大雅ジャック,SF,01:32,0,0,1,0.0%,0,1,0.0%,0,0,-,0,1,1,0,0,0,0,0,0,0,0
30349,13,〇,中村 浩陸,PG,28:10,8,3,8,37.5%,2,5,40.0%,0,0,-,1,1,2,6,3,2,0,1,1,1,9
8701,14,-,橋本 拓哉,SG,29:01,4,1,3,33.3%,1,3,33.3%,1,4,25.0%,1,1,2,2,1,0,0,0,4,3,1
33085,25,〇,ディージェイ・ニュービル,PG/SG,26:36,21,6,7,85.7%,4,5,80.0%,5,6,83.3%,0,1,1,3,1,2,0,0,0,2,26
8452,33,〇,アイラ・ブラウン,SF/PF,26:36,20,7,13,53.8%,0,2,0.0%,6,6,100.0%,0,6,6,3,1,2,1,0,3,4,26
12641,41,-,ギャレット・スタツ,C,26:41,17,6,9,66.7%,0,0,-,5,6,83.3%,4,8,12,3,2,0,0,0,3,3,26
9063,55,〇,ジョシュ・ハレルソン,C/PF,23:07,10,4,7,57.1%,1,4,25.0%,1,2,50.0%,0,5,5,4,2,1,2,0,3,1,14
