id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
8482,0,〇,藤井 祐眞,PG/SG,19:03,8,3,4,75.0%,2,3,66.7%,0,0,-,0,2,2,2,2,2,0,0,2,1,10
15817,4,-,青木 保憲,PG,09:44,0,0,1,0.0%,0,1,0.0%,0,0,-,0,1,1,2,1,1,0,0,2,0,0
8484,7,-,篠山 竜青,PG,11:13,3,1,1,100.0%,1,1,100.0%,0,0,-,0,0,0,2,0,0,0,0,4,1,2
20018,11,-,増田 啓介,SF,06:30,0,0,3,0.0%,0,1,0.0%,0,0,-,0,0,0,1,0,0,0,0,1,0,-3
8487,14,〇,辻 直人,SG,17:28,10,3,6,50.0%,1,3,33.3%,3,3,100.0%,0,0,0,7,0,0,0,1,1,1,13
26875,21,-,マティアス・カルファニ,PF,19:41,7,3,3,100.0%,1,1,100.0%,0,0,-,0,4,4,3,4,2,1,0,2,3,14
8490,22,〇,ニック・ファジーカス,C,25:38,22,8,12,66.7%,2,3,66.7%,4,4,100.0%,3,8,11,4,3,1,0,1,0,2,32
8449,24,-,大塚 裕土,SG/SF,17:40,15,4,6,66.7%,4,6,66.7%,3,4,75.0%,0,0,0,4,1,0,0,0,1,2,16
8498,27,-,熊谷 尚也,SF,12:08,5,2,3,66.7%,1,1,100.0%,0,0,-,0,1,1,0,1,1,0,0,1,0,4
8492,33,〇,長谷川 技,SF,13:45,0,0,1,0.0%,0,1,0.0%,0,0,-,1,1,2,3,1,0,0,0,1,0,2
32952,34,-,パブロ・アギラール,PF,24:00,9,3,6,50.0%,0,2,0.0%,3,5,60.0%,0,6,6,3,3,2,3,0,0,4,19
26874,35,〇,ジョーダン・ヒース,C/PF,23:10,14,5,9,55.6%,2,3,66.7%,2,4,50.0%,2,4,6,0,1,1,0,0,3,2,13
