id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
33037,0,-,ジョナサン・オクテウス,PG/SG,16:27,14,6,12,50.0%,0,3,0.0%,2,2,100.0%,2,3,5,3,0,4,0,0,4,1,17
8615,1,-,村上 駿斗,PG/SG,10:18,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,1,0,0,0,0,1,0,-1
8590,4,〇,狩俣 昌也,PG,29:42,13,5,9,55.6%,3,6,50.0%,0,0,-,0,0,0,5,3,1,0,0,0,3,15
33038,5,〇,ジョーダン・ハミルトン,SF/PF,32:49,23,8,18,44.4%,5,11,45.5%,2,5,40.0%,1,6,7,2,4,1,0,0,2,4,18
8483,7,〇,晴山 ケビン,SF,27:46,9,3,5,60.0%,2,4,50.0%,1,1,100.0%,1,3,4,1,0,0,0,0,2,1,11
22496,11,-,今川 友哲,SF/PF,09:07,2,0,0,-,0,0,-,2,2,100.0%,1,1,2,1,0,0,0,0,1,1,5
33039,12,〇,アンガス・ブラント,C,30:44,8,3,9,33.3%,0,1,0.0%,2,2,100.0%,1,7,8,5,1,1,0,1,3,4,15
5100000028,16,〇,野本 大智,PG,22:56,4,1,6,16.7%,0,2,0.0%,2,2,100.0%,2,1,3,1,1,1,0,0,0,3,6
9039,35,-,伊藤 大司,PG,01:05,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,-1
10262,45,-,頓宮 裕人,C/PF,01:27,2,1,1,100.0%,0,0,-,0,0,-,1,0,1,0,0,0,0,0,0,0,3
30402,77,-,前田 怜緒,SG/SF,17:39,3,1,1,100.0%,0,0,-,1,2,50.0%,0,0,0,0,1,1,0,0,3,1,0
