id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
8650,0,-,田臥 勇太,PG,02:31,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
8835,4,〇,ジェフ・ギブス,C/PF,31:06,7,3,6,50.0%,0,1,0.0%,1,3,33.3%,4,4,8,3,1,1,0,0,3,2,12
32989,5,〇,LJ・ピーク,SF,27:42,15,6,11,54.5%,3,6,50.0%,0,1,0.0%,1,1,2,2,2,1,0,0,3,2,11
30438,7,-,テーブス 海,PG,20:19,10,5,7,71.4%,0,2,0.0%,0,0,-,1,0,1,0,0,0,0,0,1,0,8
8497,9,〇,遠藤 祐亮,PG/SG,23:46,9,3,10,30.0%,3,5,60.0%,0,0,-,0,1,1,3,3,1,0,1,3,1,1
8726,10,-,竹内 公輔,C/PF,18:31,0,0,0,-,0,0,-,0,0,-,0,3,3,0,0,0,0,0,1,0,2
5100000012,11,-,荒谷 裕秀,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
8499,13,-,渡邉 裕規,PG,14:09,9,1,2,50.0%,1,1,100.0%,6,6,100.0%,0,1,1,1,2,0,0,0,0,3,11
8529,18,〇,鵤 誠司,PG,23:37,7,3,9,33.3%,0,3,0.0%,1,2,50.0%,0,0,0,1,1,0,0,1,0,1,0
8649,22,〇,ライアン・ロシター,C/PF,30:23,15,6,12,50.0%,0,0,-,3,8,37.5%,4,10,14,3,1,0,0,0,2,8,26
8657,31,-,喜多川 修平,SF,07:56,0,0,5,0.0%,0,3,0.0%,0,0,-,0,1,1,0,0,0,0,0,1,0,-5
5100000021,42,-,星川 堅信,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,
