id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
8614,2,-,山本 柊輔,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
18148,4,-,寺園 脩斗,PG,21:10,7,3,4,75.0%,1,2,50.0%,0,0,-,0,1,1,1,1,1,0,0,1,0,7
8727,5,〇,川嶋 勇人,SG,31:07,14,5,13,38.5%,3,9,33.3%,1,1,100.0%,0,0,0,3,1,2,0,0,3,2,9
8565,8,-,太田 敦也,C,15:38,5,1,2,50.0%,0,0,-,3,4,75.0%,1,0,1,1,1,0,0,0,4,3,3
33030,9,-,ネナド・ミリェノヴィッチ,PG,08:46,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,2,3,0,0,0,4,0,-6
8568,15,〇,鈴木 達也,PG,25:02,2,1,6,16.7%,0,1,0.0%,0,0,-,0,1,1,10,1,0,0,0,0,2,9
5100000040,17,-,常田 耕平,02:08,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0,0,0,0,-1,
5100000025,21,-,兪 龍海,01:25,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,1,0,0,0,0,0,-2,
33029,24,〇,カイル・ハント,C/PF,29:28,18,7,10,70.0%,0,0,-,4,5,80.0%,2,4,6,2,0,2,0,0,1,5,28
5100000011,28,〇,津屋 一球,SG,30:22,11,4,11,36.4%,1,4,25.0%,2,2,100.0%,0,1,1,0,2,0,1,0,3,3,4
32981,31,〇,ステヴァン・イェロヴァツ,C/PF,30:16,16,5,10,50.0%,0,2,0.0%,6,8,75.0%,1,11,12,2,0,0,0,0,0,7,30
15815,75,-,井上 宗一郎,04:38,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,0,0,1,
