id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
8482,0,〇,藤井 祐眞,PG/SG,22:48,10,3,10,30.0%,2,6,33.3%,2,2,100.0%,1,4,5,5,0,0,0,2,3,5,13
5100000022,3,-,米須 玲音,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,
8484,7,-,篠山 竜青,PG,23:14,11,4,8,50.0%,1,2,50.0%,2,2,100.0%,0,2,2,5,1,0,0,0,2,4,15
20018,11,-,増田 啓介,SF,13:39,6,3,7,42.9%,0,2,0.0%,0,0,-,2,1,3,0,3,0,0,2,2,0,-2
8487,14,〇,辻 直人,SG,23:35,3,1,5,20.0%,1,5,20.0%,0,0,-,0,1,1,0,4,0,0,0,2,1,-5
26875,21,〇,マティアス・カルファニ,PF,10:28,1,0,1,0.0%,0,1,0.0%,1,2,50.0%,0,0,0,2,1,0,1,0,1,2,2
8449,24,-,大塚 裕土,SG/SF,12:35,0,0,3,0.0%,0,2,0.0%,0,0,-,0,1,1,0,0,0,0,0,1,0,-3
8498,27,-,熊谷 尚也,SF,16:11,2,0,4,0.0%,0,1,0.0%,2,4,50.0%,0,0,0,0,0,1,0,0,1,2,-2
8492,33,〇,長谷川 技,SF,13:19,0,0,2,0.0%,0,2,0.0%,0,0,-,0,2,2,0,0,0,0,0,2,0,-2
32952,34,-,パブロ・アギラール,PF,29:13,10,4,8,50.0%,2,5,40.0%,0,0,-,3,13,16,3,1,0,1,0,1,0,24
26874,35,〇,ジョーダン・ヒース,C/PF,34:59,11,3,7,42.9%,0,2,0.0%,5,6,83.3%,0,8,8,2,2,0,1,1,4,3,13
