id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
8641,1,-,山口 祐希,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
30404,2,-,飴谷 由毅,SG/SF,03:18,0,0,2,0.0%,0,1,0.0%,0,0,-,1,0,1,0,0,0,0,1,0,0,-2
8578,7,-,阿部 友和,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
8501,9,-,水戸 健史,SG,16:34,0,0,1,0.0%,0,0,-,0,0,-,1,1,2,1,0,2,0,0,0,0,4
8503,11,〇,宇都 直輝,PG,23:26,17,7,11,63.6%,0,0,-,3,3,100.0%,2,0,2,3,2,2,0,0,3,3,18
20024,13,〇,前田 悟,SF,30:17,16,5,9,55.6%,4,8,50.0%,2,2,100.0%,0,3,3,1,0,0,0,0,4,2,14
30434,14,〇,松脇 圭志,SG,11:15,0,0,1,0.0%,0,1,0.0%,0,0,-,0,2,2,1,1,0,0,0,0,0,1
8496,21,-,橋本 晃佑,PF,12:12,0,0,4,0.0%,0,2,0.0%,0,0,-,0,0,0,0,0,0,0,1,1,0,-6
8731,31,-,城宝 匡史,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
8709,32,〇,ジュリアン・マブンガ,PF,37:31,19,4,11,36.4%,2,8,25.0%,9,11,81.8%,0,6,6,7,4,0,0,0,3,9,25
12633,34,〇,ジョシュア・スミス,C,36:42,15,5,10,50.0%,0,0,-,5,7,71.4%,3,12,15,9,1,1,2,0,2,5,37
18475,77,-,岡田 侑大,PG/SG,28:45,29,10,14,71.4%,6,6,100.0%,3,3,100.0%,1,0,1,2,2,1,0,0,3,3,27
