id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
30400,0,〇,寺嶋 良,PG,25:45,7,2,7,28.6%,0,0,-,3,4,75.0%,1,2,3,4,1,1,0,1,3,3,7
10824,1,-,會田 圭佑,PG,05:05,1,0,1,0.0%,0,0,-,1,2,50.0%,0,1,1,0,1,0,0,0,0,1,0
30401,7,-,大庭 岳輝,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
30469,11,-,久保田 義章,PG,08:38,3,1,1,100.0%,0,0,-,1,1,100.0%,0,1,1,1,0,0,0,0,2,1,4
9034,16,-,松井 啓十郎,SG,23:25,6,2,5,40.0%,2,5,40.0%,0,0,-,0,2,2,2,1,0,0,0,3,0,3
10844,21,〇,満田 丈太郎,SG/SF,15:41,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,1,0,0,0,0,0,0,0
33031,23,-,レイヴォンテ・ライス,PG,23:24,15,7,15,46.7%,1,2,50.0%,0,0,-,1,3,4,3,4,0,0,0,2,4,12
30519,29,〇,細川 一輝,SG,24:51,7,3,5,60.0%,1,2,50.0%,0,0,-,0,2,2,2,0,0,0,0,2,0,7
33032,32,〇,ジャスティン・ハーパー,PF,23:42,9,3,8,37.5%,1,4,25.0%,2,2,100.0%,1,5,6,2,1,1,0,0,3,1,10
8459,33,-,内海 慎吾,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
8493,43,-,永吉 佑也,C/PF,16:34,0,0,1,0.0%,0,0,-,0,0,-,0,1,1,0,0,1,0,0,0,1,2
18460,50,〇,デイヴィッド・サイモン,C,32:54,24,10,15,66.7%,0,1,0.0%,4,7,57.1%,2,6,8,2,1,0,3,0,1,5,32
