id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
5100000041,1,-,王 偉嘉,PF,01:30,0,0,0,-,0,0,-,0,0,-,0,1,1,0,1,0,0,0,1,0,-1
30513,3,〇,大浦 颯太,PG,16:34,9,4,9,44.4%,1,2,50.0%,0,0,-,0,1,1,2,0,1,0,0,2,0,6
8712,6,-,細谷 将司,PG,12:47,3,1,1,100.0%,1,1,100.0%,0,0,-,0,0,0,0,0,0,0,0,2,1,2
8486,7,-,野本 建吾,SF/PF,13:27,3,1,1,100.0%,0,0,-,1,1,100.0%,0,1,1,0,1,0,0,0,1,1,3
33045,9,〇,アレックス・デイビス,PF,33:09,17,7,14,50.0%,0,1,0.0%,3,4,75.0%,3,5,8,5,2,2,2,0,2,2,24
8446,16,-,伊藤 駿,PG,08:03,0,0,4,0.0%,0,0,-,0,0,-,1,1,2,0,1,0,0,1,2,2,-4
10848,17,-,中山 拓哉,PG/SG,14:56,4,1,4,25.0%,0,0,-,2,2,100.0%,0,2,2,2,1,0,0,0,1,1,4
15829,21,-,長谷川 暢,PG,16:27,3,1,2,50.0%,1,2,50.0%,0,0,-,2,3,5,5,1,0,0,0,1,0,10
30457,22,-,多田 武史,SG,03:19,0,0,0,-,0,0,-,0,0,-,0,0,0,0,1,0,0,0,0,0,-1
10878,24,〇,保岡 龍斗,SG/SF,20:19,11,3,8,37.5%,2,4,50.0%,3,3,100.0%,0,2,2,1,2,0,0,0,1,4,10
25267,32,〇,ハビエル・カーター,C,31:54,6,3,9,33.3%,0,4,0.0%,0,0,-,1,4,5,1,1,3,1,1,2,1,7
8500,51,〇,古川 孝敏,SG/SF,27:35,6,3,8,37.5%,0,3,0.0%,0,0,-,1,2,3,2,3,0,0,0,3,1,1
